"Invoice","","","","","","",""
"","","","","","","",""
"Date","Subtotal","Tax","Delivery Fee","Tip","Total","Payment Type","Order Type"
"7/1/2022 23:30:37","50.11","4.04","1.99","0","56.14","credit_card","delivery"
"7/16/2022 19:52:45","13.99","1.08","0","2.26","17.33","credit_card","pickup"
"7/22/2022 20:18:57","33.2","2.8","2.99","5.85","44.84","credit_card","delivery"
"7/23/2022 20:44:56","58.28","4.52","0","0","62.8","cash","pickup"
"Total","155.58","12.44","4.98","8.11","181.11","",""
"","","","","","","",""
"All Orders","181.11","","(all orders including cash and credit card paid orders) ","","","",""
"Pre-Paid Orders","118.31","","(orders where the customer paid with a credit card online) ","","","",""
"MenuStar Fees","11.33","","(includes credit card processing fee) ","","","",""
"Adjustments","0","","(credits/debts posted to your account) ","","","",""
"Net Payout","106.98","","(you will receive a check for this amount in 3-4 days)","","","",""
