"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"T-AwEAAAAAAA9Oovu5TNCc7RHsi3Yd1xg2bxQ","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","13091817-8542210 ST","3/5/22","5:37 PM","0","0.00","0","0.00","0","19.73","0","0","0","0","0"
"O-913218212616515","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/10/22","1:21 PM","12.99","0.00","0","1.01","0","14.00","-1.95","0","-0.73","0","0"
"O-024418163828638","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/5/22","2:41 PM","32.14","0.00","0","2.49","0","34.63","-4.82","-3.21","-1.36","0","0"
"O-235418206952638","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/9/22","2:24 PM","43.95","0.00","0","3.41","0","47.36","-6.59","0","-1.74","0","0"
"O-428018434607463","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/31/22","6:52 PM","37.95","4.99","0","3.33","6.94","53.21","-6.44","0","-1.92","0","0"
"O-349718143047473","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-349718143047473","Multiple reasons: Refund due to a missing item. Refund due to a missing item","3/2/22","9:09 PM","-19.95","0.00","0","-1.54","0","-21.49","0","0","0","0","0"
"O-023118156238675","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/4/22","2:24 PM","23.41","0.00","0","1.81","0","25.22","-3.51","-2.34","-1.07","0","0"
"O-074318368306553","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/24/22","6:24 PM","22.58","0.00","0","1.75","0","24.33","-3.39","0","-1.04","0","0"
"O-469218206290224","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/8/22","7:18 PM","26.46","4.99","0","2.44","3.39","37.28","-4.72","0","-1.44","0","0"
"O-024418243851211","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/12/22","5:55 PM","62.74","2.99","0","5.09","10.00","80.82","-9.86","0","-2.77","0","0"
"O-880118375981965","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/25/22","6:29 PM","18.96","0.00","0","1.47","0","20.43","-2.84","0","-0.92","0","0"
"T-AwEAAAAAABLIKwONKDCvWxHsmVAdAWPFu9I","The Wing Shop - Alton Pkwy","Account Adjustment","351718399006732 AA","3/29/22","5:23 AM","0","0.00","0","0.00","0","14.99","0","0","0","0","0"
"O-769018295166450","The Wing Shop - Alton Pkwy","Prepaid Order",,"3/18/22","1:52 PM","30.47","0.00","0","2.36","0","32.83","-6.09","-3.05","-1.30","0","0"
"O-063218307416472","The Wing Shop - Alton Pkwy","Prepaid Order",,"3/19/22","4:41 PM","29.99","0.00","0","2.32","0","32.31","-6.00","-3.00","-1.29","0","0"
"O-817418384656575","The Wing Shop - Alton Pkwy","Prepaid Order",,"3/26/22","7:20 PM","41.45","0.00","0","3.21","0","44.66","-8.29","-4.15","-1.66","0","0"
"O-421918195547600","The Wing Shop - Alton Pkwy","Prepaid Order",,"3/7/22","6:14 PM","17.99","0.00","0","1.39","0","19.38","-3.60","-1.80","-0.89","0","0"
"O-913218252627403","The Wing Shop - Alton Pkwy","Prepaid Order",,"3/13/22","8:22 PM","28.48","0.00","0","2.21","0","30.69","-5.70","-2.85","-1.24","0","0"
"O-351718399006732","The Wing Shop - Alton Pkwy","Prepaid Order",,"3/28/22","4:02 PM","14.99","0.00","0","1.16","0","16.15","-3.00","-1.50","-0.79","0","0"
"O-959718276111024","The Wing Shop - Alton Pkwy","Prepaid Order",,"3/15/22","8:25 PM","15.74","0.00","0","1.22","0","16.96","-3.15","-1.57","-0.82","0","0"
"O-351718399006732","The Wing Shop - Alton Pkwy","Adjustment of O-351718399006732","INCORRECT_ITEM","3/28/22","4:54 PM","-14.99","0.00","0","-1.16","0","-16.15","0","0","0","0","0"
"O-145418348179035","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"3/22/22","9:21 PM","35.44","0.00","0","2.75","0","38.19","-7.09","-3.54","-1.46","0","0"
"O-029218222290072","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"3/10/22","9:46 PM","32.46","0.00","0","2.52","0","34.98","-6.49","-3.25","-1.37","0","0"
"O-150618241246581","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"3/12/22","7:11 PM","44.93","0.00","0","3.48","0","48.41","-8.99","-4.49","-1.78","0","0"
"O-278918141016514","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"3/2/22","5:13 PM","51.95","0.00","0","4.03","0","55.98","-10.39","-5.20","-2.01","0","0"
"O-343218190566902","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"3/8/22","1:03 PM","23.81","0.00","0","1.85","0","25.66","-4.76","-2.38","-1.08","0","0"
"O-024418143850751","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"3/2/22","8:14 PM","40.45","0.00","0","3.13","0","43.58","-8.09","-4.05","-1.63","0","0"
"O-786018239603429","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"3/11/22","5:32 PM","72.34","0.00","0","5.61","0","77.95","-14.47","-7.23","-2.68","0","0"
"O-130918148589089","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"3/3/22","6:15 PM","42.46","0.00","0","3.29","0","45.75","-8.49","-4.25","-1.70","0","0"
"O-065918302369693","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"3/18/22","6:25 PM","18.95","0.00","0","1.47","0","20.42","-3.79","-1.90","-0.92","0","0"
"O-431518251389845","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"3/13/22","6:39 PM","20.98","0.00","0","1.63","0","22.61","-4.20","-2.10","-0.99","0","0"
"O-029218162290040","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"3/4/22","6:32 PM","29.69","0.00","0","2.30","0","31.99","-5.94","-2.97","-1.28","0","0"
"O-782518177033621","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"3/5/22","8:42 PM","46.96","0.00","0","3.64","0","50.60","-9.39","-4.70","-1.84","0","0"
"O-143218217762767","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"3/9/22","7:26 PM","42.96","0.00","0","3.33","0","46.29","-8.59","-4.30","-1.71","0","0"
"O-278918221015003","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"3/10/22","6:22 PM","29.97","0.00","0","2.32","0","32.29","-5.99","-3.00","-1.28","0","0"
"O-398318262857046","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"3/14/22","7:00 PM","44.96","0.00","0","3.48","0","48.44","-8.99","-4.50","-1.78","0","0"
"O-974718424730259","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"3/31/22","1:09 PM","35.96","0.00","0","2.79","0","38.75","-7.19","-3.60","-1.48","0","0"
"O-130918198542169","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"3/7/22","6:30 PM","70.66","0.00","0","5.48","0","76.14","-14.13","-7.07","-2.62","0","0"
"O-786018149609190","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"3/2/22","7:27 PM","37.97","0.00","0","2.94","0","40.91","-7.59","-3.80","-1.55","0","0"
"O-074318338307758","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"3/22/22","4:31 PM","25.98","0.00","0","2.01","0","27.99","-5.20","-2.60","-1.15","0","0"
