"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-980118025766121","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/18/22","8:47 PM","19.98","0.00","0","1.55","0","21.53","-3.00","0","-0.96","0","0"
"O-217018099144237","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/26/22","3:10 PM","40.54","1.99","0","3.29","4.58","50.40","-6.38","0","-1.84","0","0"
"O-962617945317386","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/11/22","12:14 PM","46.25","1.99","0","3.73","12.99","64.96","-7.24","0","-2.28","0","0"
"O-774918006364391","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/16/22","9:37 PM","11.99","0.00","0","0.93","0","12.92","-1.80","0","-0.69","0","0"
"O-962617985367614","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"2/14/22","6:15 PM","57.94","0.00","0","4.49","2.57","65.00","-8.69","0","-2.28","0","0"
"O-973818027824693","The Wing Shop - Alton Pkwy","Prepaid Order",,"2/18/22","8:10 PM","42.48","0.00","0","3.29","0","45.77","-8.50","-4.25","-1.70","0","0"
"T-AwEAAAAAABLIK5KpKcCNLBHsq9b_wYjdxz0","The Wing Shop - Alton Pkwy","Account Adjustment","98511796-9921663-EA","2/13/22","4:25 PM","0","0.00","0","0.00","0","77.97","0","0","0","0","0"
"O-985117969921663","The Wing Shop - Alton Pkwy","Prepaid Order",,"2/13/22","4:00 PM","77.97","0.00","0","6.04","0","84.01","-15.59","-7.80","-2.86","0","0"
"T-AwEAAAAAABLIK-YO0ZCPcRHsp85ZZMq4VIk","The Wing Shop - Alton Pkwy","Account Adjustment","23031797-6160890 AE","2/16/22","1:46 PM","0","0.00","0","0.00","0","9.00","0","0","0","0","0"
"O-726817903321825","The Wing Shop - Alton Pkwy","Prepaid Order",,"2/6/22","5:55 PM","52.98","0.00","0","4.11","0","57.09","-10.60","-5.30","-2.04","0","0"
"O-985117969921663","The Wing Shop - Alton Pkwy","Adjustment of O-985117969921663","Order picked up by another driver","2/13/22","4:23 PM","-77.97","0.00","0","-6.04","0","-84.01","15.59","7.80","2.86","0","0"
"O-230317976160890","The Wing Shop - Alton Pkwy","Adjustment of O-230317976160890","MISSING_ITEM - Refund requested by diner via help interaction","2/13/22","7:19 PM","-9.00","0.00","0","-0.69","0","-9.69","0","0","0","0","0"
"O-595017946941517","The Wing Shop - Alton Pkwy","Prepaid Order",,"2/10/22","8:00 PM","59.98","0.00","0","4.65","0","64.63","-12.00","-6.00","-2.27","0","0"
"O-874117970992406","The Wing Shop - Alton Pkwy","Prepaid Order",,"2/13/22","5:48 PM","47.98","0.00","0","3.72","0","51.70","-9.60","-4.80","-1.88","0","0"
"O-558418022372241","The Wing Shop - Alton Pkwy","Prepaid Order",,"2/18/22","7:54 PM","29.96","0.00","0","2.32","0","32.28","-5.99","-3.00","-1.28","0","0"
