Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Discounts,Adjustments,Marketplace Facilitator Tax,Total Tax Charged to Customer,Tax Passed through to Operator,Tip,Restaurant Fulfilled Delivery Fee,Other,You earned,Notes
Delivery,2022-02-20,#920a677e,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$22.98,-$9.19,$0.00,$0.00,$0.00,$1.78,$1.78,,$0.00,,$15.57,
Delivery,2022-02-20,#01da93b6,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$29.48,-$8.49,-$3.00,$0.00,$0.00,$2.05,$2.05,,$0.00,,$20.04,
Delivery,2022-02-20,#9ed30a73,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$32.97,-$7.25,-$5.94,$0.00,$0.00,$2.17,$2.17,,$0.00,,$21.95,
Delivery,2022-02-20,#60ACF,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$41.85,-$16.74,$0.00,$0.00,-$3.24,$3.24,$0.00,,$0.00,,$25.11,
Delivery,2022-02-20,#6F0B4,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$20.00,-$5.00,-$3.00,$0.00,-$1.32,$1.32,$0.00,,$0.00,,$12.00,
Delivery,2022-02-20,#fc335260,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.95,-$5.18,$0.00,$0.00,$0.00,$1.00,$1.00,,$0.00,,$8.77,
Delivery,2022-02-20,#66997690,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$62.00,-$24.80,$0.00,$0.00,$0.00,$4.81,$4.81,,$0.00,,$42.01,
Delivery,2022-02-20,#76E59,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$32.97,-$6.59,-$6.60,$0.00,-$2.04,$2.04,$0.00,,$0.00,,$19.78,
Delivery,2022-02-20,#AF54A,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$65.97,-$26.39,$0.00,$0.00,-$5.11,$5.11,$0.00,,$0.00,,$39.58,
Delivery,2022-02-20,#C923F,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$13.00,-$5.20,$0.00,$0.00,-$1.01,$1.01,$0.00,,$0.00,,$7.80,
