"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-336914612711369","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/14/21","7:23 PM","31.98","0","0.00","2.48","3.20","37.66","-8.00","0","-1.45","0"
"O-768814668954446","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/19/21","7:23 PM","15.98","0","2.99","1.47","3.07","23.51","-4.74","0","-1.02","0"
"O-768814708976828","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/24/21","12:48 PM","34.97","0","0.00","2.71","5.65","43.33","-8.74","0","-1.62","0"
"O-933614716272948","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/25/21","3:41 PM","16.98","0","4.99","1.71","0","23.68","-5.49","0","-1.02","0"
"O-689314567896928","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/9/21","7:08 PM","32.97","0","2.99","2.79","5.81","44.56","-8.99","0","-1.66","0"
"O-899414751805198","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/28/21","6:35 PM","75.96","0","1.99","6.04","4.00","87.99","-19.49","0","-2.98","0"
"O-332214545641500","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/7/21","5:38 PM","42.47","0","1.99","3.44","5.00","52.90","-11.12","0","-1.91","0"
"O-640814733529430","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/26/21","7:40 PM","48.34","0","2.99","3.98","7.81","63.12","-12.83","0","-2.23","0"
"O-768814658990567","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/18/21","8:19 PM","29.72","0","6.99","2.84","5.93","45.48","-9.18","0","-1.69","0"
"O-842614569499574","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/10/21","1:38 PM","26.97","0","1.99","2.24","4.68","35.88","-7.24","0","-1.39","0"
"O-432214730232446","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/26/21","6:17 PM","38.97","0","8.99","3.72","5.17","56.85","-11.99","0","-2.03","0"
"O-768814668920702","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/20/21","1:27 PM","16.98","0","2.99","1.55","3.22","24.74","-4.99","0","-1.05","0"
"O-332214735648019","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/26/21","6:41 PM","32.06","0","0.00","2.48","5.18","39.72","-8.02","0","-1.51","0"
"O-842614669469436","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/19/21","8:46 PM","23.98","0","0.00","1.86","0","25.84","-6.00","0","-1.09","0"
"O-640814533546780","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/6/21","8:11 PM","49.95","0","2.99","4.10","8.56","65.60","-13.24","0","-2.30","0"
"O-728514590724576","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/12/21","5:45 PM","32.97","0","4.99","2.95","6.14","47.05","-9.49","0","-1.74","0"
"O-432214510255843","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/4/21","8:05 PM","19.44","0","4.99","1.90","5.27","31.60","-6.11","0","-1.26","0"
"O-665014530304650","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/7/21","3:00 PM","12.99","0","0.00","1.01","2.00","16.00","-3.25","0","-0.79","0"
"O-640814703528009","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/23/21","7:36 PM","36.96","0","6.99","3.40","7.10","54.45","-10.99","0","-1.96","0"
"O-097814608486684","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/13/21","5:25 PM","81.92","0","1.99","6.50","18.08","108.49","-20.98","0","-3.61","0"
"T-AwAAD06i7S8IoIaPEeunI9vHdDSSdA","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","68931461-7890955 DR","3/16/21","12:43 PM","0","0","0.00","0.00","0","0.75","0","0","0","0"
"O-933614706284725","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/23/21","8:28 PM","17.36","0","0.00","1.35","0","18.71","-4.34","0","-0.87","0"
"O-266514530816196","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/6/21","4:58 PM","33.00","0","2.99","2.79","5.82","44.60","-9.00","0","-1.66","0"
"O-907714669634384","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/20/21","4:29 PM","10.99","0","0.00","0.85","0","11.84","-2.75","0","-0.66","0"
"O-907714529609410","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/5/21","6:24 PM","35.93","0","4.99","3.17","6.61","50.70","-10.23","0","-1.85","0"
"O-933614716274831","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/25/21","5:26 PM","33.96","0","2.99","2.86","3.23","43.04","-9.24","0","-1.61","0"
"O-336914542799193","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/7/21","7:42 PM","26.55","0","2.99","2.29","6.36","38.19","-7.39","0","-1.46","0"
"O-892314756237592","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/28/21","6:17 PM","14.99","0","0.00","1.16","2.42","18.57","-3.75","0","-0.87","0"
"O-463714590370539","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/13/21","1:22 PM","40.97","0","0.00","3.18","0","44.15","-10.24","0","-1.65","0"
"O-997214664771193","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/19/21","7:54 PM","48.97","0","6.99","4.34","9.04","69.34","-13.99","0","-2.41","0"
"O-689314747896823","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/27/21","7:55 PM","68.02","0","4.99","5.66","7.87","86.54","-18.25","0","-2.94","0"
"O-728514530718146","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/7/21","4:11 PM","37.97","0","8.99","3.64","10.12","60.72","-11.74","0","-2.15","0"
"O-640814543525405","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/7/21","5:59 PM","82.35","0","4.99","6.77","14.12","108.23","-21.84","0","-3.60","0"
"O-113214634990499","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/17/21","3:15 PM","43.43","0","8.99","4.07","5.65","62.14","-13.11","0","-2.20","0"
"O-689314747896823","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-689314747896823","MISSING_ITEM - Refund requested by diner via help interaction","3/27/21","8:03 PM","-16.99","0","0.00","-1.32","0","-18.31","0","0","0","0"
"O-336914582798375","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/11/21","9:34 PM","22.98","0","0.00","1.78","6.19","30.95","-5.75","0","-1.24","0"
