Start Date,End Date,Supplier ID,Facility Name,Subtotal,Tax,Adjustment,Additional Adjustments / Referral,Total Commission,Total Payout,Future Foods Pays,UberEats Pays
8/29,9/4,S-001490,Aroma Pizza - Lake Forest,4491.38,328.48,-4.63,29.31,-2020.5,2824.04,2222.36,601.68
9/5,9/11,S-001490,Aroma Pizza - Lake Forest,3846.11,277.21,-41.17,0,-1709.16,2372.99,1636.22,736.77
9/12,9/18,S-001490,Aroma Pizza - Lake Forest,3653.98,272.11,-23.24,41.17,-1633.83,2310.19,1927.79,382.4
9/19,9/25,S-001490,Aroma Pizza - Lake Forest,4782.82,350,0,23.24,-2140.02,3016.04,2732.08,283.96
