"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-733018702568613","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/28/22","5:15 PM","49.76","0.00","0","3.86","0","53.62","-6.22","-1.94","0"
"O-643418506701724","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/7/22","5:56 PM","21.99","2.99","0","1.93","4.04","30.95","-3.12","-1.24","0"
"W-434118657105619","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/22/22","6:24 PM","46.74","2.99","0","3.85","4.00","57.58","0","-2.06","0"
"O-534718635395990","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/20/22","8:36 PM","76.97","0.00","0","5.97","0","82.94","-9.62","-2.83","0"
"W-637618532834842","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/10/22","5:57 PM","53.59","0.00","0","4.15","5.77","63.51","0","-2.24","0"
"O-625418714219889","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/29/22","12:25 PM","18.83","2.99","0","1.69","4.70","28.21","-2.73","-1.16","0"
"O-928918707122879","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/27/22","9:08 PM","102.19","2.99","0","8.15","16.99","130.32","-13.15","-4.27","0"
"W-703118596965213","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/16/22","6:42 PM","25.33","2.99","0","2.19","7.63","38.14","0","-1.46","0"
"O-769718527107309","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/10/22","1:01 PM","11.99","0.00","0","0.93","1.29","14.21","-1.50","-0.73","0"
"O-769718537146572","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/10/22","7:36 PM","29.05","0.00","0","2.25","0","31.30","-3.63","-1.25","0"
"O-433918666279980","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/23/22","6:48 PM","23.78","0.00","0","1.84","0","25.62","-2.97","-1.08","0"
"W-433918606277781","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/17/22","6:37 PM","36.56","2.99","0","3.06","6.39","49.00","0","-1.79","0"
"O-336018594196755","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/17/22","6:45 PM","40.85","4.99","0","3.56","6.60","56.00","-5.73","-2.01","0"
"O-563518569570398","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/14/22","1:00 PM","39.02","4.99","0","3.41","8.41","55.83","-5.50","-2.00","0"
"O-026518551214701","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/12/22","9:34 PM","31.47","2.99","0","2.67","5.00","42.13","-4.31","-1.58","0"
"W-645118517097908","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/8/22","6:48 PM","31.14","2.99","0","2.64","4.00","40.77","0","-1.54","0"
"O-779718683979053","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/25/22","7:14 PM","25.47","0.00","0","1.97","0","27.44","-3.18","-1.14","0"
"O-707618678513334","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/25/22","3:57 PM","32.98","0.00","0","2.56","0","35.54","-4.12","-1.38","0"
"W-269518649333169","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/21/22","6:16 PM","18.46","2.99","0","1.66","3.47","26.58","0","-1.11","0"
"O-160918701545331","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/27/22","7:31 PM","32.76","2.99","0","2.77","9.63","48.15","-4.47","-1.77","0"
"O-768318475261773","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/4/22","6:48 PM","22.98","0.00","0","1.78","0","24.76","-2.87","-1.06","0"
"O-478918486084408","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/5/22","9:12 PM","26.99","0.00","0","2.09","0","29.08","-3.37","-1.19","0"
"O-318718516675628","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/9/22","11:30 AM","66.56","0.00","0","5.16","0","71.72","-8.32","-2.49","0"
"O-667218719575980","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/29/22","2:33 PM","16.49","2.99","0","1.51","2.10","23.09","-2.44","-1.00","0"
"O-512818489664097","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/5/22","9:27 PM","66.62","0.00","0","5.16","0","71.78","-8.33","-2.49","0"
