Order Channel,ID,Fulfillment Type,Restaurant,Type,Description,Date,Time,Subtotal,Delivery Fee,Service Fee,Service Fee Exemption,(flexible fees),Tax Fee,Tax Fee Exemption,Tip,Restaurant Total,Commission,GH+ Commission,Delivery Commission,Processing Fee,Withheld Tax,Withheld Tax Exemption,Targeted Promotion,Rewards
MARKETPLACE,O-600928867242754,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,02/07/25,"5:30 PM PST, UTC-08:00",31.98,8.99,0,0,n/a,3.18,0,7.24,51.39,-6.15,n/a,0,-1.87,0,0,0,n/a
MARKETPLACE,O-824830009730271,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,05/31/25,"9:15 PM PDT, UTC-07:00",33.96,6.99,0,0,n/a,2.55,0,5,48.5,-6.14,n/a,0,-1.54,0,0,-8,n/a
MARKETPLACE,O-288428853473036,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,02/06/25,"3:13 PM PST, UTC-08:00",36.73,1.99,0,0,n/a,3,0,4,45.72,-5.81,n/a,0,-1.69,0,0,0,n/a
MARKETPLACE,O-701929346049326,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,03/26/25,"7:48 PM PDT, UTC-07:00",33.47,1.99,0,0,n/a,2.74,0,7.57,45.77,-5.32,n/a,0,-1.7,0,0,0,n/a
MARKETPLACE,O-344029197182314,Pick-Up,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,03/12/25,"11:15 AM PDT, UTC-07:00",13.99,0,0,0,n/a,1.08,0,1,16.07,-2.1,n/a,0,-0.79,0,0,0,n/a
MARKETPLACE,O-830528818775299,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,02/01/25,"8:09 PM PST, UTC-08:00",24.99,4.99,0,0,n/a,2.33,0,3.72,36.03,-4.5,n/a,0,-1.4,0,0,0,n/a
MARKETPLACE,O-344629933751479,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,05/24/25,"8:30 PM PDT, UTC-07:00",37.98,4.99,0,0,n/a,2.71,0,5,50.68,-6.45,n/a,0,-1.6,0,0,-8,n/a
MARKETPLACE,O-796729014872986,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,02/21/25,"5:59 PM PST, UTC-08:00",24.99,4.99,0,0,n/a,2.33,0,4.24,36.55,-4.5,n/a,0,-1.41,0,0,0,n/a
MARKETPLACE,O-939529786137623,Pick-Up,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,05/10/25,"12:10 PM PDT, UTC-07:00",13.99,0,0,0,n/a,1.08,0,0,15.07,-2.1,n/a,0,-0.76,0,0,0,n/a
MARKETPLACE,O-920628814067681,Grubhub Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,02/02/25,"2:35 PM PST, UTC-08:00",23.98,0,0,0,n/a,1.86,0,0,25.84,-3.6,n/a,-2.4,-1.09,0,0,0,n/a
