"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-740215208236701","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/12/21","7:08 PM","32.26","0","8.99","3.20","6.67","51.12","-10.31","0","-1.86","0"
"O-995915298104614","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/21/21","8:30 PM","50.93","0","2.99","4.18","10.98","69.08","-13.48","0","-2.41","0"
"O-488915197907800","Aroma Pizza & Pasta - Alton Pkwy","Cash Order",,"5/11/21","8:38 PM","32.72","0","8.99","3.24","0","44.95","-10.43","0","0","0"
"O-186215297834361","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/21/21","5:53 PM","13.78","0","0.00","1.07","0","14.85","-3.45","0","-0.75","0"
"O-014615108620116","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/2/21","6:36 PM","21.99","0","4.99","2.09","4.74","33.81","-6.75","0","-1.33","0"
"O-122715290013608","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/22/21","4:26 PM","16.99","0","4.99","1.71","2.37","26.06","-5.50","0","-1.09","0"
"O-008615191324021","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/12/21","12:30 PM","42.01","0","1.99","3.41","12.00","59.41","-11.00","0","-2.11","0"
"O-873515111216234","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/3/21","7:15 PM","29.25","0","0.00","2.27","3.15","34.67","-7.31","0","-1.36","0"
"O-272915178676382","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/9/21","6:51 PM","37.95","0","2.99","3.17","3.50","47.61","-10.24","0","-1.75","0"
"O-994915292604892","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/21/21","5:54 PM","29.98","0","0.00","2.32","0","32.30","-7.50","0","-1.29","0"
"O-345615394468149","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/31/21","6:31 PM","22.95","0","1.99","1.93","4.03","30.90","-6.24","0","-1.24","0"
"O-901615235213275","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/15/21","6:08 PM","27.57","0","4.99","2.53","4.91","40.00","-8.14","0","-1.52","0"
"O-156215159439926","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/8/21","12:45 PM","62.53","0","4.99","5.24","8.00","80.76","-16.88","0","-2.76","0"
"O-437115272767997","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/20/21","5:00 PM","28.98","0","0.00","2.25","0","31.23","-7.25","0","-1.25","0"
"O-029415245986112","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/17/21","1:04 PM","30.56","0","1.99","2.52","3.51","38.58","-8.14","0","-1.48","0"
"O-304015365031901","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/28/21","9:04 PM","21.97","0","1.99","1.85","3.87","29.68","-5.99","0","-1.21","0"
"O-385215119398082","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/3/21","6:36 PM","18.99","0","2.99","1.70","3.55","27.23","-5.50","0","-1.13","0"
"O-296815172025077","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/10/21","4:12 PM","21.97","0","4.99","2.09","0","29.05","-6.74","0","-1.19","0"
"O-063615228497066","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/14/21","5:50 PM","18.99","0","0.00","1.47","0.54","21.00","-4.75","0","-0.94","0"
"O-857715370275112","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/29/21","6:48 PM","71.52","0","4.99","5.93","21.00","103.44","-19.13","0","-3.45","0"
"O-838715095610574","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/1/21","7:21 PM","25.48","0","0.00","1.97","0","27.45","-6.37","0","-1.14","0"
"O-185015099792372","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/1/21","6:43 PM","55.95","0","0.00","4.34","0","60.29","-13.99","0","-2.14","0"
"O-008615231336807","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/16/21","2:52 PM","45.33","0","2.99","3.74","4.00","56.06","-12.08","0","-2.01","0"
"O-838715095662958","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/2/21","1:43 PM","56.97","0","1.99","4.57","5.00","68.53","-14.74","0","-2.39","0"
"O-679115292872841","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/22/21","4:52 PM","37.42","0","2.99","3.13","6.53","50.07","-10.10","0","-1.83","0"
"O-438915083511095","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/1/21","2:11 PM","39.15","0","0.00","3.03","4.00","46.18","-9.79","0","-1.71","0"
"O-535915356397021","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/27/21","6:08 PM","16.98","0","4.99","1.71","5.92","29.60","-5.49","0","-1.20","0"
