"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery","Service","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-168916240284139","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/24/21","8:35 PM","26.98","0.00","0","2.09","0","29.07","-4.05","0","-1.19","0","0"
"O-551016017213088","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/1/21","6:50 PM","59.74","0.00","0","4.63","9.65","74.02","-8.96","0","-2.56","0","0"
"O-299316091362113","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/9/21","8:59 PM","17.73","1.99","0","1.52","3.19","24.43","-2.96","0","-1.05","0","0"
"O-225116206008316","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/20/21","7:31 PM","37.52","6.99","0","3.06","9.51","57.08","-6.68","0","-1.89","0","-5.00"
"O-244716010093168","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/2/21","3:29 PM","94.05","8.99","0","7.99","11.10","122.13","-15.46","0","-4.02","0","0"
"O-018416101138268","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/10/21","7:14 PM","25.35","4.99","0","1.97","4.85","37.16","-4.55","0","-1.28","0","-5.00"
"O-261016166544628","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/17/21","11:45 AM","34.98","1.99","0","2.47","6.00","45.44","-5.55","0","-1.53","0","-5.00"
"O-085316187756781","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/18/21","6:35 PM","45.95","0.00","0","3.56","7.42","56.93","-6.89","0","-2.04","0","0"
"O-151316203276196","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/21/21","7:30 PM","42.77","1.99","0","3.46","7.23","55.45","-6.71","0","-1.99","0","0"
"O-169516074951058","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/8/21","12:02 PM","15.74","8.99","0","1.53","4.00","30.26","-3.71","0","-1.07","0","-5.00"
"O-612216134784476","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/13/21","5:17 PM","42.34","0.00","0","3.28","5.38","51.00","-6.35","0","-1.86","0","0"
"O-120716209932203","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/21/21","12:10 PM","23.98","1.99","0","2.01","4.19","32.17","-3.90","0","-1.28","0","0"
"O-765616208814550","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/20/21","7:33 PM","70.39","8.99","0","5.61","0","84.99","-11.91","0","-2.68","0","-7.00"
"O-303316266304016","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/26/21","9:17 PM","41.54","6.99","0","3.76","8.95","61.24","-7.28","0","-2.17","0","0"
"O-133416017122550","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/1/21","7:29 PM","30.94","4.99","0","2.79","5.00","43.72","-5.39","0","-1.63","0","0"
"O-117016119857941","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/11/21","6:17 PM","37.96","1.99","0","2.70","4.05","46.70","-5.99","0","-1.57","0","-5.00"
"O-859116148339254","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/15/21","4:41 PM","48.74","2.99","0","3.62","9.00","64.35","-7.76","0","-2.11","0","-5.00"
"O-176316150602071","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/15/21","7:10 PM","72.31","2.99","0","5.29","10.00","90.59","-11.30","0","-2.85","0","-7.00"
"O-018416181132500","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/18/21","7:54 PM","36.33","4.99","0","2.82","6.62","50.76","-6.20","0","-1.70","0","-5.00"
"O-018416191151571","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/20/21","12:43 PM","29.14","1.99","0","2.41","5.00","38.54","-4.67","0","-1.48","0","0"
"O-035316289975271","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/28/21","7:01 PM","37.98","6.99","0","3.48","8.18","56.63","-6.75","0","-2.03","0","0"
"O-869816279011789","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/27/21","7:05 PM","33.21","6.99","0","3.11","7.16","50.47","-6.03","0","-1.84","0","0"
"O-340416224067992","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/22/21","5:17 PM","24.96","0.00","0","1.93","0","26.89","-3.74","0","-1.12","0","0"
"O-117016219851552","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/21/21","8:11 PM","54.96","6.99","0","4.26","5.00","71.21","-9.29","0","-2.26","0","-7.00"
"O-772816306422420","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/31/21","12:20 PM","17.57","0.00","0","1.36","0","18.93","-2.64","0","-0.88","0","0"
"O-169516024959243","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/3/21","11:52 AM","23.47","1.99","0","1.97","4.11","31.54","-3.82","0","-1.26","0","0"
"O-176316190638455","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/20/21","3:00 PM","16.98","0.00","0","1.32","0","18.30","-2.55","0","-0.86","0","0"
"O-303316276305579","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/27/21","5:28 PM","32.32","0.00","0","2.50","0","34.82","-4.85","0","-1.36","0","0"
"O-251816234183295","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/24/21","1:47 PM","55.94","6.99","0","4.49","10.11","77.53","-9.44","0","-2.51","0","-5.00"
"O-000816294428946","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/29/21","9:47 PM","34.71","2.99","0","2.92","2.00","42.62","-5.66","0","-1.60","0","0"
"O-287216056350807","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/6/21","4:45 PM","20.77","4.99","0","1.61","2.20","29.57","-3.86","0","-1.05","0","-5.00"
"O-292816083137387","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/8/21","8:08 PM","33.95","1.99","0","2.78","3.66","42.38","-5.39","0","-1.59","0","0"
"O-785016074683021","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/7/21","6:52 PM","44.75","1.99","0","3.23","4.78","54.75","-7.01","0","-1.82","0","-5.00"
"O-519016204828246","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/20/21","7:45 PM","34.26","0.00","0","2.66","0","36.92","-5.14","0","-1.43","0","0"
"O-582216045630633","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/5/21","12:52 PM","31.96","4.99","0","2.48","7.00","46.43","-5.54","0","-1.56","0","-5.00"
"O-595016179237914","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/17/21","8:06 PM","47.83","4.99","0","3.71","5.65","62.18","-7.92","0","-2.04","0","-5.00"
"O-261016226557431","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/22/21","6:00 PM","52.56","4.99","0","4.46","8.00","70.01","-8.63","0","-2.44","0","0"
"O-570916050871044","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/5/21","6:39 PM","30.98","6.99","0","2.94","5.00","45.91","-5.70","0","-1.70","0","0"
