"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-407318565284615","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/13/22","7:21 PM","50.46","6.99","0","4.45","5.00","66.90","-8.62","0","-2.34","0","0"
"O-673618483439807","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/6/22","4:40 PM","25.77","2.99","0","2.23","4.64","35.63","-4.31","0","-1.39","0","0"
"O-435918686600595","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/26/22","5:18 PM","18.11","1.99","0","1.55","2.17","23.82","-3.02","0","-1.03","0","0"
"O-432018438266136","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/1/22","1:53 PM","13.23","0.00","0","1.03","0","14.26","-1.98","0","-0.73","0","0"
"O-915318507624342","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/7/22","8:02 PM","20.98","0.00","0","1.63","0","22.61","-3.15","0","-0.99","0","0"
"O-398118640192791","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/21/22","6:07 PM","38.98","0.00","0","3.02","0","42.00","-5.85","0","-1.58","0","0"
"O-998218653795532","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/23/22","5:32 PM","48.55","4.99","0","4.15","8.65","66.34","-8.03","0","-2.32","0","0"
"O-433918666222917","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/24/22","12:51 PM","29.98","0.00","0","2.32","3.00","35.30","-4.50","0","-1.38","0","0"
"O-574618670915001","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/24/22","8:48 PM","39.46","6.99","0","3.60","2.00","52.05","-6.97","0","-1.89","0","0"
"O-915318467623620","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/3/22","6:18 PM","30.27","0.00","0","2.35","0","32.62","-4.54","0","-1.29","0","0"
"O-703118676969343","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/24/22","7:16 PM","50.92","2.99","0","4.18","5.49","63.58","-8.09","0","-2.24","0","0"
"O-550518702983591","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/28/22","5:12 PM","47.92","4.99","0","4.10","5.70","62.71","-7.94","0","-2.21","0","0"
"O-247018459763597","The Wing Shop - Alton Pkwy","Prepaid Order",,"4/2/22","8:51 PM","47.47","0.00","0","3.68","0","51.15","-9.49","-4.75","-1.86","0","0"
"O-489818467179265","The Wing Shop - Alton Pkwy","Prepaid Order",,"4/4/22","12:23 AM","19.47","0.00","0","1.51","0","20.98","-3.89","-1.95","-0.94","0","0"
"O-618418559023700","The Wing Shop - Alton Pkwy","Prepaid Order",,"4/12/22","8:21 PM","19.98","0.00","0","1.55","0","21.53","-4.00","-2.00","-0.96","0","0"
"O-521018602056141","The Wing Shop - Alton Pkwy","Prepaid Order",,"4/17/22","6:04 PM","38.99","0.00","0","3.02","0","42.01","-7.80","-3.90","-1.58","0","0"
"O-928918687125208","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/26/22","4:47 PM","28.97","0.00","0","2.25","0","31.22","-5.79","-2.90","-1.25","0","0"
"O-479118651959924","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/22/22","5:56 PM","23.97","0.00","0","1.86","0","25.83","-4.79","-2.40","-1.09","0","0"
"O-416118640979425","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/22/22","1:10 PM","33.94","0.00","0","2.63","0","36.57","-6.79","-3.39","-1.42","0","0"
"O-998218623757092","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/19/22","9:36 PM","35.22","0.00","0","2.73","0","37.95","-7.04","-3.52","-1.46","0","0"
"O-398118680190508","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/25/22","9:33 PM","27.92","0.00","0","2.16","0","30.08","-5.58","-2.79","-1.22","0","0"
"O-012018606888473","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/17/22","9:12 PM","10.99","0.00","0","0.85","0","11.84","-2.20","-1.10","-0.66","0","0"
"O-915318537622746","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/10/22","7:53 PM","25.98","0.00","0","2.01","0","27.99","-5.20","-2.60","-1.15","0","0"
"O-398118630150513","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/21/22","5:36 PM","50.96","0.00","0","3.95","0","54.91","-10.19","-5.10","-1.97","0","0"
"O-434118667104474","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/24/22","12:28 PM","21.31","0.00","0","1.65","0","22.96","-4.26","-2.13","-1.00","0","0"
"O-752918731942974","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/30/22","7:44 PM","16.98","0.00","0","1.32","0","18.30","-3.40","-1.70","-0.86","0","0"
"O-512818539664148","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/10/22","9:19 PM","18.98","0.00","0","1.47","0","20.45","-3.80","-1.90","-0.92","0","0"
"O-217918456394835","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/2/22","6:40 PM","15.98","0.00","0","1.24","0","17.22","-3.20","-1.60","-0.83","0","0"
