"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery","Service","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-824116670325550","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/6/21","6:47 PM","40.34","1.99","0","3.28","6.84","52.45","-6.35","0","-1.90","0","0"
"O-913516687900619","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/8/21","12:05 PM","93.38","0.00","0","7.24","0","100.62","-14.01","0","-3.37","0","0"
"O-349216863297787","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/26/21","1:13 PM","11.99","0.00","0","0.93","0","12.92","-1.80","0","-0.69","0","0"
"O-910516787556472","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/18/21","12:44 PM","12.74","0.00","0","0.99","0","13.73","-1.91","0","-0.72","0","0"
"O-519616708880246","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/9/21","7:26 PM","51.45","4.99","0","4.38","12.16","72.98","-8.47","0","-2.53","0","0"
"O-675016803858243","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/20/21","1:40 PM","17.23","0.00","0","1.34","0","18.57","-2.58","0","-0.87","0","0"
"O-571216910800163","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/31/21","4:10 PM","39.01","1.99","0","3.17","6.62","50.79","-6.15","0","-1.85","0","0"
"O-504116682187821","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/7/21","9:17 PM","30.32","1.99","0","2.35","3.27","37.93","-4.85","0","-1.46","0","0"
"O-628116904894317","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/29/21","6:16 PM","36.54","1.99","0","2.98","6.23","47.74","-5.78","0","-1.76","0","0"
"O-884416831675260","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/23/21","4:18 PM","30.97","6.99","0","2.94","1.00","41.90","-5.69","0","-1.58","0","0"
"O-090716684134381","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/8/21","1:24 PM","14.53","0.00","0","1.13","0","15.66","-2.18","0","-0.78","0","0"
"O-336816844855011","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/23/21","7:31 PM","49.94","2.99","0","4.10","5.38","62.41","-7.94","0","-2.20","0","0"
"O-751016917604471","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/31/21","12:00 PM","26.98","1.99","0","2.24","3.50","34.71","-4.35","0","-1.36","0","0"
"O-461216649812450","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/4/21","4:14 PM","44.56","0.00","0","3.45","0","48.01","-6.68","0","-1.76","0","0"
"O-504116782183038","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/17/21","6:38 PM","29.98","6.99","0","2.86","4.85","44.68","-5.55","0","-1.66","0","0"
"O-845416690517399","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/8/21","6:11 PM","42.95","8.99","0","4.03","5.60","61.57","-7.79","0","-2.18","0","0"
"O-214216633600848","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/3/21","1:23 PM","53.29","4.99","0","4.52","8.61","71.41","-8.74","0","-2.48","0","0"
"O-112616768206084","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/15/21","7:30 PM","36.96","8.99","0","2.94","7.33","56.22","-6.89","0","-1.77","0","-8.00"
"O-901816916824482","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/30/21","8:29 PM","47.04","2.99","0","3.88","8.09","62.00","-7.50","0","-2.19","0","0"
"O-461216769836695","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/15/21","6:13 PM","101.90","4.99","0","8.29","25.00","140.18","-16.03","0","-4.58","0","0"
"O-461216749834258","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/13/21","7:06 PM","37.96","0.00","0","2.94","0","40.90","-5.69","0","-1.55","0","0"
"O-579716778376437","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/16/21","6:22 PM","28.98","1.99","0","2.40","5.00","38.37","-4.65","0","-1.47","0","0"
"O-735116804286236","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/19/21","5:31 PM","37.97","0.00","0","2.94","0","40.91","-5.70","0","-1.55","0","0"
"O-616316810669033","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/20/21","6:40 PM","27.97","6.99","0","2.71","6.03","43.70","-5.24","0","-1.63","0","0"
"O-901816866884065","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/26/21","5:30 PM","35.97","0.00","0","2.79","0","38.76","-5.40","0","-1.48","0","0"
"O-742616774690245","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/17/21","2:17 PM","71.20","6.99","0","5.44","6.00","89.63","-11.73","0","-2.79","0","-8.00"
"O-927516881015168","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/28/21","4:50 PM","39.93","4.99","0","3.48","7.26","55.66","-6.74","0","-2.00","0","0"
"O-294916776190148","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/17/21","4:51 PM","52.55","1.99","0","4.22","8.81","67.57","-8.18","0","-2.36","0","0"
"O-503316739352515","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/12/21","7:38 PM","36.96","4.99","0","3.25","7.96","53.16","-6.29","0","-1.92","0","0"
"O-046016684765179","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/7/21","6:26 PM","19.99","8.99","0","2.25","3.23","34.46","-4.35","0","-1.35","0","0"
"O-336816914859120","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/30/21","8:14 PM","54.48","1.99","0","4.37","9.12","69.96","-8.47","0","-2.43","0","0"
"O-742616784614813","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/18/21","1:50 PM","14.53","0.00","0","1.13","0","15.66","-2.18","0","-0.78","0","0"
"O-735116864275321","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/26/21","4:18 PM","17.98","1.99","0","1.54","2.91","24.42","-3.00","0","-1.04","0","0"
"O-503316729359100","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/11/21","7:10 PM","19.57","8.99","0","2.22","4.22","35.00","-4.28","0","-1.37","0","0"
"O-374816806050392","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/20/21","3:30 PM","21.98","0.00","0","1.70","0","23.68","-3.30","0","-1.02","0","0"
"T-AwEAAAAAAA9OonfepJAtMRHsmZZXbWW4VjI","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","57971670-8339259 KH ","10/14/21","1:58 PM","0","0.00","0","0.00","0","25.52","0","0","0","0","0"
"O-504116622185503","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/1/21","6:44 PM","34.97","2.99","0","2.94","6.13","47.03","-5.69","0","-1.73","0","0"
"O-675016893845799","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/29/21","2:00 PM","12.53","0.00","0","0.97","0","13.50","-1.88","0","-0.71","0","0"
"O-250416731573386","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/13/21","4:57 PM","21.97","4.99","0","2.09","7.26","36.31","-4.04","0","-1.41","0","0"
"O-675016843847881","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/24/21","1:20 PM","24.25","6.99","0","2.42","5.23","38.89","-4.69","0","-1.49","0","0"
"O-461216779833433","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/16/21","5:56 PM","15.74","0.00","0","1.22","0","16.96","-2.36","0","-0.82","0","0"
"O-742616714661478","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/10/21","9:39 PM","26.15","3.49","0","2.30","6.68","38.62","-4.45","0","-1.48","0","0"
"O-112616618217618","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/1/21","12:30 PM","20.48","1.99","0","1.74","4.84","29.05","-3.37","0","-1.19","0","0"
"O-496216833708193","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/22/21","7:24 PM","32.97","4.99","0","2.95","4.09","45.00","-5.69","0","-1.67","0","0"
"O-504116712184084","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/10/21","6:04 PM","71.20","6.99","0","6.06","7.00","91.25","-11.73","0","-3.08","0","0"
"O-738716639329404","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/2/21","8:29 PM","30.02","2.99","0","2.56","3.30","38.87","-4.95","0","-1.49","0","0"
"O-395616882935611","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/27/21","8:11 PM","19.72","0.00","0","1.53","0","21.25","-2.96","0","-0.95","0","0"
"O-395616882931701","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/27/21","5:45 PM","79.93","1.99","0","6.34","5.00","93.26","-12.29","0","-3.14","0","0"
"O-294916776181430","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/16/21","7:37 PM","32.72","0.00","0","2.54","0","35.26","-4.91","0","-1.38","0","0"
