"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-252917281537572","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/9/21","11:15 AM","161.94","10.00","0","13.33","29.62","214.89","-30.09","0","-6.85","0","0"
"O-072617408571763","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/19/21","12:13 PM","12.99","0.00","0","1.01","0","14.00","-1.95","0","-0.73","0","0"
"O-469517254870314","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/4/21","10:49 AM","42.97","0.00","0","3.33","0","46.30","-6.45","0","-1.71","0","0"
"O-447717354308339","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/13/21","5:56 PM","26.98","0.00","0","2.09","0","29.07","-4.05","0","-1.19","0","0"
"O-692517503912351","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/28/21","5:34 PM","46.56","0.00","0","3.61","0","50.17","-6.98","0","-1.83","0","0"
"T-AwEAAAAAAA9OolLP05BTxBHskft9qaOJHdQ","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","Delivery Fee Refund","12/2/21","3:05 PM","0","0.00","0","0.00","0","14.97","0","0","0","0","0"
"O-174617234966560","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/2/21","11:43 AM","42.97","0.00","0","3.33","0","46.30","-6.45","0","-1.71","0","0"
"O-188317372153276","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/15/21","6:16 PM","10.99","0.00","0","0.85","0","11.84","-1.65","0","-0.66","0","0"
"O-863617267345430","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/5/21","1:48 PM","26.46","6.99","0","1.97","4.18","39.60","-5.02","0","-1.26","0","-8.00"
"O-503417347237232","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/12/21","6:51 PM","36.33","4.99","0","2.59","6.59","50.50","-6.20","0","-1.60","0","-8.00"
"O-218417364607623","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/14/21","8:27 PM","16.98","6.99","0","1.24","4.58","29.79","-3.60","0","-0.96","0","-8.00"
"O-941017486273535","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/26/21","5:20 PM","46.97","0.00","0","3.64","7.59","58.20","-7.05","0","-2.08","0","0"
"O-447717344309557","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/12/21","5:26 PM","44.97","0.00","0","3.49","0","48.46","-6.75","0","-1.78","0","0"
"O-054317279905168","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/5/21","7:33 PM","18.57","2.99","0","1.67","3.48","26.71","-3.23","0","-1.11","0","0"
"O-005017389658840","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/16/21","5:16 PM","49.95","0.00","0","3.87","5.00","58.82","-7.49","0","-2.09","0","0"
"O-527317236495280","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/1/21","6:27 PM","30.92","8.99","0","3.10","3.33","46.34","-5.99","0","-1.71","0","0"
"O-183417406977881","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/18/21","6:01 PM","28.77","0.00","0","2.23","2.00","33.00","-4.32","0","-1.31","0","0"
"O-513517240716904","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-513517240716904","Chose wrong address","12/2/21","6:30 PM","-29.81","0.00","0","-2.31","0","-32.12","4.47","2.98","1.28","0","0"
"O-280917233911605","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/1/21","5:18 PM","22.47","0.00","0","1.74","0","24.21","-3.37","0","-1.04","0","0"
"O-654517453325463","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/23/21","8:38 PM","32.95","1.99","0","2.70","5.00","42.64","-5.24","0","-1.60","0","0"
"O-783817379770310","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/16/21","5:00 PM","64.89","0.00","0","5.03","0","69.92","-9.73","0","-2.43","0","0"
"O-891917249909187","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/3/21","1:49 PM","52.45","0.00","0","4.06","0","56.51","-7.87","-5.25","-2.02","0","0"
"O-874017390939807","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/17/21","5:39 PM","78.40","4.99","0","6.47","21.12","110.98","-12.51","0","-3.68","0","0"
"O-188517308767089","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/8/21","5:44 PM","35.22","8.99","0","3.43","4.76","52.40","-6.63","0","-1.90","0","0"
"O-631217527666303","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/30/21","8:41 PM","37.76","1.99","0","3.08","7.00","49.83","-5.96","0","-1.82","0","0"
"O-188317302156839","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/8/21","7:33 PM","24.56","6.99","0","1.82","5.17","38.54","-4.73","0","-1.23","0","-8.00"
"O-755817254998122","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/3/21","8:39 PM","17.98","4.99","0","1.78","0","24.75","-3.45","0","-1.05","0","0"
"O-955817507608181","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/28/21","6:00 PM","33.26","4.99","0","2.97","4.78","46.00","-5.74","0","-1.70","0","0"
"O-247817510463419","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/30/21","12:31 PM","22.99","0.00","0","1.78","0","24.77","-3.45","0","-1.06","0","0"
"O-680817408497671","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/18/21","6:17 PM","44.97","0.00","0","3.49","5.00","53.46","-6.75","0","-1.93","0","0"
"O-527317276492066","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/5/21","5:31 PM","40.97","2.99","0","3.41","7.10","54.47","-6.59","0","-1.96","0","0"
"O-581917356790597","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-581917356790597","Order not received","12/14/21","4:32 PM","-24.37","-1.99","0","-2.04","-4.26","-32.66","3.95","0","1.30","0","0"
