"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery","Service","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-908215867394296","The Wing Stop - Alton Pkwy","Adjustment of O-908215867394296","Tip increased by diner via self-service - Tip updated by diner via help interaction","7/17/21","6:36 PM","0","0.00","0","0.00","0","0.00","0","0","0","0"
"O-267015735064529","The Wing Stop - Alton Pkwy","Prepaid Order",,"7/5/21","1:07 PM","43.99","0.00","0","3.41","0","47.40","-8.80","-4.40","-1.75","0"
"O-112615790319185","The Wing Stop - Alton Pkwy","Prepaid Order",,"7/11/21","5:25 PM","22.96","0.00","0","1.78","0","24.74","-4.59","-2.30","-1.05","0"
"O-551015987221233","The Wing Stop - Alton Pkwy","Prepaid Order",,"7/30/21","11:45 AM","33.47","0.00","0","2.59","0","36.06","-6.69","-3.35","-1.40","0"
"O-662416008477639","The Wing Stop - Alton Pkwy","Prepaid Order",,"7/31/21","8:50 PM","20.73","0.00","0","1.61","0","22.34","-4.15","-2.07","-0.98","0"
"O-280215765785803","The Wing Stop - Alton Pkwy","Prepaid Order",,"7/8/21","5:29 PM","21.46","0.00","0","1.66","0","23.12","-4.29","-2.15","-1.01","0"
"O-980415787313318","The Wing Stop - Alton Pkwy","Prepaid Order",,"7/9/21","7:42 PM","14.99","0.00","0","1.16","0","16.15","-3.00","-1.50","-0.79","0"
"O-483815859898752","The Wing Stop - Alton Pkwy","Adjustment of O-483815859898752","Tip increased by diner via self-service - Tip updated by diner via help interaction","7/16/21","8:50 PM","0","0.00","0","0.00","0","0.00","0","0","0","0"
"O-908215867394296","The Wing Stop - Alton Pkwy","Prepaid Order",,"7/17/21","6:04 PM","35.94","0.00","0","2.79","0","38.73","-7.19","-3.59","-1.48","0"
"O-504015795465665","The Wing Stop - Alton Pkwy","Prepaid Order",,"7/10/21","6:58 PM","32.23","0.00","0","2.50","0","34.73","-6.45","-3.22","-1.36","0"
"O-055515936678715","The Wing Stop - Alton Pkwy","Prepaid Order",,"7/25/21","5:16 PM","26.27","0.00","0","2.04","0","28.31","-5.25","-2.63","-1.16","0"
"O-922915708904064","The Wing Stop - Alton Pkwy","Prepaid Order",,"7/1/21","7:52 PM","34.24","0.00","0","2.65","0","36.89","-6.85","-3.42","-1.43","0"
"O-252515786121381","The Wing Stop - Alton Pkwy","Prepaid Order",,"7/9/21","8:03 PM","18.98","0.00","0","1.47","0","20.45","-3.80","-1.90","-0.92","0"
"O-252515786121381","The Wing Stop - Alton Pkwy","Adjustment of O-252515786121381","Tip increased by diner via self-service - Tip updated by diner via help interaction","7/9/21","8:03 PM","0","0.00","0","0.00","0","0.00","0","0","0","0"
"O-252515786121381","The Wing Stop - Alton Pkwy","Adjustment of O-252515786121381","INCORRECT_ITEM","7/9/21","8:03 PM","-18.98","0.00","0","-1.47","0","-20.45","0","0","0","0"
"O-815615809499855","The Wing Stop - Alton Pkwy","Prepaid Order",,"7/11/21","9:48 PM","38.99","0.00","0","3.02","0","42.01","-7.80","-3.90","-1.58","0"
"O-735115712989320","The Wing Stop - Alton Pkwy","Prepaid Order",,"7/3/21","12:59 PM","28.97","0.00","0","2.25","0","31.22","-5.79","-2.90","-1.25","0"
"O-359415770022578","The Wing Stop - Alton Pkwy","Prepaid Order",,"7/8/21","7:25 PM","35.97","0.00","0","2.79","0","38.76","-7.19","-3.60","-1.48","0"
"O-914415867103087","The Wing Stop - Alton Pkwy","Prepaid Order",,"7/17/21","6:13 PM","14.99","0.00","0","1.16","0","16.15","-3.00","-1.50","-0.79","0"
"O-483815859898752","The Wing Stop - Alton Pkwy","Prepaid Order",,"7/16/21","8:35 PM","16.98","0.00","0","1.32","0","18.30","-3.40","-1.70","-0.86","0"
"O-112615790319185","The Wing Stop - Alton Pkwy","Adjustment of O-112615790319185","Tip increased by diner via self-service - Tip updated by diner via help interaction","7/11/21","5:41 PM","0","0.00","0","0.00","0","0.00","0","0","0","0"
"T-AwEAAAAAABLIK_U9JeDikhHrm1BnKrMxIC0","The Wing Stop - Alton Pkwy","Account Adjustment","25251578-6121381 - MN","7/11/21","2:57 PM","0","0.00","0","0.00","0","18.98","0","0","0","0"
"O-815615769448205","The Wing Stop - Alton Pkwy","Prepaid Order",,"7/8/21","4:50 PM","24.97","0.00","0","1.94","0","26.91","-4.99","-2.50","-1.12","0"
"O-511815704844897","The Wing Stop - Alton Pkwy","Prepaid Order",,"7/2/21","12:58 PM","34.99","0.00","0","2.71","0","37.70","-7.00","-3.50","-1.45","0"
"O-683815923972859","The Wing Stop - Alton Pkwy","Prepaid Order",,"7/24/21","1:40 PM","24.98","0.00","0","1.94","0","26.92","-5.00","-2.50","-1.12","0"
"O-656915876939020","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/18/21","5:43 PM","32.96","0.00","0","2.55","0","35.51","-6.59","-3.30","-1.38","0"
"O-431115870335863","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/18/21","9:18 PM","10.47","0.00","0","0.81","0","11.28","-2.09","-1.05","-0.64","0"
"O-486315998279063","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/31/21","4:42 PM","21.98","0.00","0","1.70","0","23.68","-4.40","-2.20","-1.02","0"
"O-267015715045803","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/3/21","4:28 PM","31.97","0.00","0","2.48","0","34.45","-6.39","-3.20","-1.35","0"
"O-647015839136103","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/14/21","8:46 PM","21.96","0.00","0","1.70","0","23.66","-4.39","-2.20","-1.02","0"
"O-925215971108735","Trattoria Contadina - Alton Pkwy","Adjustment of O-925215971108735","Tip increased by diner via self-service - Tip updated by diner via help interaction","7/28/21","7:15 PM","0","0.00","0","0.00","0","0.00","0","0","0","0"
"O-274615957935955","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/26/21","9:10 PM","33.50","0.00","0","2.60","0","36.10","-6.70","-3.35","-1.40","0"
"O-974115951944610","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/26/21","7:14 PM","43.71","0.00","0","3.39","0","47.10","-8.74","-4.37","-1.74","0"
"O-719115712344240","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/3/21","5:25 PM","13.96","0.00","0","1.08","0","15.04","-2.79","-1.40","-0.76","0"
"O-082115892551389","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/20/21","7:21 PM","10.47","0.00","0","0.81","0","11.28","-2.09","-1.05","-0.64","0"
"O-595615752640289","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/6/21","8:15 PM","18.45","0.00","0","1.43","0","19.88","-3.69","-1.85","-0.91","0"
"O-248015823613152","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/13/21","8:07 PM","20.98","0.00","0","1.63","0","22.61","-4.20","-2.10","-0.99","0"
"O-760515777292278","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/9/21","11:30 AM","59.42","0.00","0","4.61","0","64.03","-11.88","-5.94","-2.25","0"
"O-055515896642923","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/21/21","4:53 PM","72.18","0.00","0","5.59","0","77.77","-14.44","-7.22","-2.67","0"
"O-987215950355227","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/26/21","7:12 PM","34.96","0.00","0","2.71","0","37.67","-6.99","-3.50","-1.45","0"
"O-791715928979783","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/23/21","6:53 PM","28.46","0.00","0","2.21","0","30.67","-5.69","-2.85","-1.24","0"
"O-914415857104304","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/16/21","6:39 PM","27.47","0.00","0","2.13","0","29.60","-5.49","-2.75","-1.20","0"
"O-992215837852840","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/14/21","5:54 PM","32.71","0.00","0","2.54","0","35.25","-6.54","-3.27","-1.38","0"
"O-064515735819905","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/4/21","6:51 PM","45.46","0.00","0","3.52","0","48.98","-9.09","-4.55","-1.79","0"
"O-857115905991559","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/21/21","6:23 PM","18.98","0.00","0","1.47","0","20.45","-3.80","-1.90","-0.92","0"
"O-690115972732876","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/28/21","9:27 PM","13.99","0.00","0","1.08","0","15.07","-2.80","-1.40","-0.76","0"
"O-690115972710745","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/29/21","5:24 PM","23.98","0.00","0","1.86","0","25.84","-4.80","-2.40","-1.09","0"
"O-248015853611121","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/16/21","7:55 PM","25.95","0.00","0","2.01","0","27.96","-5.19","-2.60","-1.15","0"
"O-871115717013015","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/2/21","7:47 PM","29.22","0.00","0","2.26","0","31.48","-5.84","-2.92","-1.26","0"
"O-857715722774288","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/3/21","7:01 PM","38.95","0.00","0","3.02","0","41.97","-7.79","-3.90","-1.58","0"
"O-359415760027817","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/7/21","6:26 PM","40.46","0.00","0","3.14","0","43.60","-8.09","-4.05","-1.63","0"
"O-223815792630066","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/11/21","5:00 PM","13.99","0.00","0","1.08","0","15.07","-2.80","-1.40","-0.76","0"
"O-431115741821824","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/5/21","6:34 PM","16.98","0.00","0","1.32","0","18.30","-3.40","-1.70","-0.86","0"
"O-486315978272189","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/29/21","5:31 PM","52.87","0.00","0","4.10","0","56.97","-10.57","-5.29","-2.04","0"
"O-763415861114054","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/18/21","4:49 PM","68.44","0.00","0","5.30","0","73.74","-13.69","-6.84","-2.55","0"
"O-857115925956681","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/24/21","2:34 PM","15.98","0.00","0","1.24","0","17.22","-3.20","-1.60","-0.83","0"
"O-925215971108735","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/28/21","7:15 PM","21.48","0.00","0","1.66","0","23.14","-4.30","-2.15","-1.01","0"
"O-511815724806000","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/3/21","9:19 PM","42.68","0.00","0","3.31","0","45.99","-8.54","-4.27","-1.70","0"
"O-213915940324265","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/25/21","7:20 PM","21.72","0.00","0","1.68","0","23.40","-4.34","-2.17","-1.01","0"
"O-133415997169157","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/31/21","12:27 PM","24.96","0.00","0","1.93","0","26.89","-4.99","-2.50","-1.12","0"
"O-586915949258779","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"7/25/21","7:32 PM","45.71","0.00","0","3.54","0","49.25","-9.14","-4.57","-1.80","0"
