transaction id,transaction date,account name,transaction description,transaction line description,amount (one column),,debit amount (two column approach),credit amount (two column approach),other accounts for this transaction,customer,vendor,invoice number,bill number,notes / memo,amount before sales tax,sales tax amount,sales tax name,transaction date added,transaction date last modified,account group,account type,account id,source_accounting_file,wave_account
1046093453244507214,2020-09-30,Sales,SLICE DES:SLICE ID:ST-I4C4C2E7N5J7 INDN:ACE A ROMA INC CO ID:1800948598 CCD,,5036.85,,,5036.85,Business Advantage Chk (602),,,,,,5036.85,,,2020-10-01,2020-10-03,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1067080520657020564,2020-10-29,Sales,SLICE DES:SLICE ID:ST-G6U3Q1S7S7V3 INDN:ACE A ROMA INC CO ID:1800948598 CCD,,4099.37,,,4099.37,Business Advantage Chk (602),,,,,,4099.37,,,2020-10-30,2020-11-06,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1091240952833516546,2020-12-01,Sales,SLICE DES:SLICE ID:ST-K1M1N5C5D7V9 INDN:ACE A ROMA INC CO ID:1800948598 CCD,,4994.8,,,4994.8,Business Advantage Chk (602),,,,,,4994.8,,,2020-12-02,2021-01-14,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1111332745755240409,2020-12-29,Sales,SLICE DES:SLICE ID:ST-A4W0Q7D4E3G7 INDN:ACE A ROMA INC CO ID:1800948598 CCD,,4884.93,,,4884.93,Business Advantage Chk (602),,,,,,4884.93,,,2020-12-22,2021-01-14,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1134648439175390921,2021-01-29,Slice Sales,SLICE DES:SLICE ID:ST-L1N3C6D8A8P0 INDN:ACE A ROMA INC CO ID:1800948598 CCD,,3866.15,,,3866.15,Business Advantage Chk (602),,,,,,3866.15,,,2021-01-29,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1156948881867548100,2021-03-02,Slice Sales,SLICE DES:SLICE ID:ST-R8H4I7F3F1O8 INDN:ACE A ROMA INC CO ID:1800948598 CCD,,4576.87,,,4576.87,Business Advantage Chk (602),,,,,,4576.87,,,2021-03-02,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1176961482647152627,2021-03-30,Slice Sales,SLICE DES:SLICE ID:ST-J9O3K7H0I8B0 INDN:ACE A ROMA INC CO ID:1800948598 CCD,,4369.93,,,4369.93,Business Advantage Chk (602),,,,,,4369.93,,,2021-03-30,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1198851530199933968,2021-04-29,Slice Sales,SLICE DES:SLICE ID:ST-I1X8K9O3L3M1 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,3906.37,,,3906.37,Business Advantage Chk (602),,,,,,3906.37,,,2021-04-28,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1222593869766469455,2021-06-01,Slice Sales,SLICE DES:SLICE ID:ST-F5P5F9L2A0B4 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,4856.73,,,4856.73,Business Advantage Chk (602),,,,,,4856.73,,,2021-06-01,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1243184241483719762,2021-06-29,Slice Sales,SLICE DES:SLICE: SHO ID:ST-R0M0Y6C0S4H8 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,4773.76,,,4773.76,Business Advantage Chk (602),,,,,,4773.76,,,2021-06-29,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1264535456020703131,2021-07-29,Slice Sales,SLICE DES:SLICE: SHO ID:ST-B8D4G5P6I6K2 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,5114.27,,,5114.27,Business Advantage Chk (602),,,,,,5114.27,,,2021-07-29,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1288905552637731869,2021-08-31,Slice Sales,SLICE DES:SLICE15639 ID:ST-V3V1U3E6N6N1 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,5575.53,,,5575.53,Business Advantage Chk (602),,,,,,5575.53,,,2021-09-01,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1309398376361501721,2021-09-29,Slice Sales,SLICE DES:SLICE15639 ID:ST-Z2D8W4X4M6H2 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,5016.25,,,5016.25,Business Advantage Chk (602),,,,,,5016.25,,,2021-09-29,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1331056900724237380,2021-10-29,Slice Sales,SLICE DES:SLICE15639 ID:ST-H6S1K1A7R4V5 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,5510.05,,,5510.05,Business Advantage Chk (602),,,,,,5510.05,,,2021-10-29,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1354633386412484501,2021-11-30,Slice Sales,SLICE DES:SLICE15639 ID:ST-R1V0V3P9X8G0 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,7216.84,,,7216.84,Business Advantage Chk (602),,,,,,7216.84,,,2021-12-01,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1375817123514819591,2021-12-29,Slice Sales,SLICE DES:SLICE15639 ID:ST-G4M9A7R3Z9X4 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,6617.66,,,6617.66,Business Advantage Chk (602),,,,,,6617.66,,,2021-12-21,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1399866565280671595,2022-01-31,Slice Sales,SLICE DES:SLICE15639 ID:ST-T3C6J2E3B7Q6 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,6027.89,,,6027.89,Business Advantage Chk (602),,,,,,6027.89,,,2022-01-31,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1420257140781623229,2022-03-01,Slice Sales,SLICE DES:SLICE15639 ID:ST-J8N5L5I8C3W1 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,7433.12,,,7433.12,Business Advantage Chk (602),,,,,,7433.12,,,2022-03-01,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1440537641874367656,2022-03-29,Slice Sales,SLICE DES:SLICE15639 ID:ST-B0H2G8I6U4Z8 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,5859.2,,,5859.2,Business Advantage Chk (602),,,,,,5859.2,,,2022-03-29,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1466897936754419518,2022-05-04,Slice Sales,SLICE DES:SLICE15639 ID:ST-C5G7X8N9B4E6 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,6196.91,,,6196.91,Business Advantage Chk (602),,,,,,6196.91,,,2022-05-03,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1487402189453272065,2022-06-01,Slice Sales,SLICE DES:SLICE15639 ID:ST-L3E6E7A5G7S5 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,5698.76,,,5698.76,Business Advantage Chk (602),,,,,,5698.76,,,2022-06-01,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
