missing_from,order_id,provider,restaurant_name,order_datetime,source_file
excel,88013376,AROMA,Aroma Pizza & Pasta,2023-05-06T12:17:00,slice_order_history.csv
excel,88412294,AROMA,Aroma Pizza & Pasta,2023-05-12T21:29:00,slice_order_history.csv
excel,92877715,AROMA,Aroma Pizza & Pasta,2023-07-28T19:21:00,slice_order_history.csv
excel,93736299,AROMA,Aroma Pizza & Pasta,2023-08-12T16:30:00,slice_order_history.csv
excel,100263914,AROMA,Aroma Pizza & Pasta,2023-12-03T19:59:00,slice_order_history.csv
excel,101910224,AROMA,Aroma Pizza & Pasta,2023-12-31T20:15:00,slice_order_history.csv
excel,103010747,AROMA,Aroma Pizza & Pasta,2024-01-20T17:55:00,slice_order_history.csv
excel,105407038,AROMA,Aroma Pizza & Pasta,2024-03-01T19:25:00,slice_order_history.csv
excel,113805272,AROMA,Aroma Pizza & Pasta,2024-07-19T21:29:00,slice_order_history.csv
excel,115235299,AROMA,Aroma Pizza & Pasta,2024-08-13T10:45:00,slice_order_history.csv
excel,118831742,AROMA,Aroma Pizza & Pasta,2024-10-14T18:00:00,slice_order_history.csv
excel,119849552,AROMA,Aroma Pizza & Pasta,2024-10-31T17:59:00,slice_order_history.csv
excel,123066954,AROMA,Aroma Pizza & Pasta,2024-12-26T12:30:00,slice_order_history.csv
excel,130418102,AROMA,Aroma Pizza & Pasta,2025-05-03T15:31:00,slice_order_history.csv
excel,138152626,AROMA,Aroma Pizza & Pasta,2025-09-20T17:12:00,slice_order_history.csv
history,23969411,AMECI,Ameci,2020-01-01T00:00:00,All Orders Ameci.xlsx
history,23973212,AMECI,Ameci,2020-01-01T00:00:00,All Orders Ameci.xlsx
history,23997819,AMECI,Ameci,2020-01-02T00:00:00,All Orders Ameci.xlsx
history,23999518,AMECI,Ameci,2020-01-02T00:00:00,All Orders Ameci.xlsx
history,24001249,AMECI,Ameci,2020-01-02T00:00:00,All Orders Ameci.xlsx
history,24001398,AMECI,Ameci,2020-01-02T00:00:00,All Orders Ameci.xlsx
history,24001883,AMECI,Ameci,2020-01-02T00:00:00,All Orders Ameci.xlsx
history,24038704,AMECI,Ameci,2020-01-03T00:00:00,All Orders Ameci.xlsx
history,24039242,AMECI,Ameci,2020-01-03T00:00:00,All Orders Ameci.xlsx
history,24041657,AMECI,Ameci,2020-01-03T00:00:00,All Orders Ameci.xlsx
history,24042809,AMECI,Ameci,2020-01-03T00:00:00,All Orders Ameci.xlsx
history,24049284,AMECI,Ameci,2020-01-04T00:00:00,All Orders Ameci.xlsx
history,24049732,AMECI,Ameci,2020-01-04T00:00:00,All Orders Ameci.xlsx
history,24057116,AMECI,Ameci,2020-01-04T00:00:00,All Orders Ameci.xlsx
history,24071417,AMECI,Ameci,2020-01-04T00:00:00,All Orders Ameci.xlsx
history,24078346,AMECI,Ameci,2020-01-04T00:00:00,All Orders Ameci.xlsx
history,24080053,AMECI,Ameci,2020-01-04T00:00:00,All Orders Ameci.xlsx
history,24080191,AMECI,Ameci,2020-01-04T00:00:00,All Orders Ameci.xlsx
history,24109912,AMECI,Ameci,2020-01-05T00:00:00,All Orders Ameci.xlsx
history,24110642,AMECI,Ameci,2020-01-05T00:00:00,All Orders Ameci.xlsx
history,24130599,AMECI,Ameci,2020-01-06T00:00:00,All Orders Ameci.xlsx
history,24137189,AMECI,Ameci,2020-01-07T00:00:00,All Orders Ameci.xlsx
history,24151814,AMECI,Ameci,2020-01-07T00:00:00,All Orders Ameci.xlsx
history,24169902,AMECI,Ameci,2020-01-08T00:00:00,All Orders Ameci.xlsx
history,24175857,AMECI,Ameci,2020-01-08T00:00:00,All Orders Ameci.xlsx
history,24176695,AMECI,Ameci,2020-01-08T00:00:00,All Orders Ameci.xlsx
history,24177320,AMECI,Ameci,2020-01-08T00:00:00,All Orders Ameci.xlsx
history,24182772,AMECI,Ameci,2020-01-09T00:00:00,All Orders Ameci.xlsx
history,24201703,AMECI,Ameci,2020-01-09T00:00:00,All Orders Ameci.xlsx
history,24203038,AMECI,Ameci,2020-01-09T00:00:00,All Orders Ameci.xlsx
history,24204309,AMECI,Ameci,2020-01-09T00:00:00,All Orders Ameci.xlsx
history,24215527,AMECI,Ameci,2020-01-10T00:00:00,All Orders Ameci.xlsx
history,24229122,AMECI,Ameci,2020-01-10T00:00:00,All Orders Ameci.xlsx
history,24235105,AMECI,Ameci,2020-01-10T00:00:00,All Orders Ameci.xlsx
history,24242960,AMECI,Ameci,2020-01-10T00:00:00,All Orders Ameci.xlsx
history,24244236,AMECI,Ameci,2020-01-10T00:00:00,All Orders Ameci.xlsx
history,24249232,AMECI,Ameci,2020-01-10T00:00:00,All Orders Ameci.xlsx
history,24279026,AMECI,Ameci,2020-01-11T00:00:00,All Orders Ameci.xlsx
history,24286489,AMECI,Ameci,2020-01-11T00:00:00,All Orders Ameci.xlsx
history,24289505,AMECI,Ameci,2020-01-11T00:00:00,All Orders Ameci.xlsx
history,24289646,AMECI,Ameci,2020-01-11T00:00:00,All Orders Ameci.xlsx
history,24319558,AMECI,Ameci,2020-01-12T00:00:00,All Orders Ameci.xlsx
history,24319659,AMECI,Ameci,2020-01-12T00:00:00,All Orders Ameci.xlsx
history,24320771,AMECI,Ameci,2020-01-12T00:00:00,All Orders Ameci.xlsx
history,24323538,AMECI,Ameci,2020-01-12T00:00:00,All Orders Ameci.xlsx
history,24324004,AMECI,Ameci,2020-01-12T00:00:00,All Orders Ameci.xlsx
history,24339894,AMECI,Ameci,2020-01-13T00:00:00,All Orders Ameci.xlsx
history,24363918,AMECI,Ameci,2020-01-14T00:00:00,All Orders Ameci.xlsx
history,24365205,AMECI,Ameci,2020-01-14T00:00:00,All Orders Ameci.xlsx
history,24389628,AMECI,Ameci,2020-01-15T00:00:00,All Orders Ameci.xlsx
history,24415965,AMECI,Ameci,2020-01-16T00:00:00,All Orders Ameci.xlsx
history,24451466,AMECI,Ameci,2020-01-17T00:00:00,All Orders Ameci.xlsx
history,24455151,AMECI,Ameci,2020-01-17T00:00:00,All Orders Ameci.xlsx
history,24462348,AMECI,Ameci,2020-01-17T00:00:00,All Orders Ameci.xlsx
history,24463261,AMECI,Ameci,2020-01-17T00:00:00,All Orders Ameci.xlsx
history,24463715,AMECI,Ameci,2020-01-17T00:00:00,All Orders Ameci.xlsx
history,24465606,AMECI,Ameci,2020-01-17T00:00:00,All Orders Ameci.xlsx
history,24498988,AMECI,Ameci,2020-01-18T00:00:00,All Orders Ameci.xlsx
history,24502290,AMECI,Ameci,2020-01-18T00:00:00,All Orders Ameci.xlsx
history,24502612,AMECI,Ameci,2020-01-18T00:00:00,All Orders Ameci.xlsx
history,24508801,AMECI,Ameci,2020-01-18T00:00:00,All Orders Ameci.xlsx
history,24510576,AMECI,Ameci,2020-01-19T00:00:00,All Orders Ameci.xlsx
history,24521460,AMECI,Ameci,2020-01-19T00:00:00,All Orders Ameci.xlsx
history,24531184,AMECI,Ameci,2020-01-19T00:00:00,All Orders Ameci.xlsx
history,24536694,AMECI,Ameci,2020-01-19T00:00:00,All Orders Ameci.xlsx
history,24538884,AMECI,Ameci,2020-01-19T00:00:00,All Orders Ameci.xlsx
history,24544122,AMECI,Ameci,2020-01-19T00:00:00,All Orders Ameci.xlsx
history,24545393,AMECI,Ameci,2020-01-19T00:00:00,All Orders Ameci.xlsx
history,24586889,AMECI,Ameci,2020-01-21T00:00:00,All Orders Ameci.xlsx
history,24587608,AMECI,Ameci,2020-01-21T00:00:00,All Orders Ameci.xlsx
history,24588473,AMECI,Ameci,2020-01-21T00:00:00,All Orders Ameci.xlsx
history,24600513,AMECI,Ameci,2020-01-22T00:00:00,All Orders Ameci.xlsx
history,24611424,AMECI,Ameci,2020-01-22T00:00:00,All Orders Ameci.xlsx
history,24621927,AMECI,Ameci,2020-01-23T00:00:00,All Orders Ameci.xlsx
history,24635770,AMECI,Ameci,2020-01-23T00:00:00,All Orders Ameci.xlsx
history,24638913,AMECI,Ameci,2020-01-23T00:00:00,All Orders Ameci.xlsx
history,24651501,AMECI,Ameci,2020-01-24T00:00:00,All Orders Ameci.xlsx
history,24683053,AMECI,Ameci,2020-01-24T00:00:00,All Orders Ameci.xlsx
history,24685514,AMECI,Ameci,2020-01-24T00:00:00,All Orders Ameci.xlsx
history,24687293,AMECI,Ameci,2020-01-24T00:00:00,All Orders Ameci.xlsx
history,24687358,AMECI,Ameci,2020-01-24T00:00:00,All Orders Ameci.xlsx
history,24688364,AMECI,Ameci,2020-01-24T00:00:00,All Orders Ameci.xlsx
history,24689167,AMECI,Ameci,2020-01-24T00:00:00,All Orders Ameci.xlsx
history,24689199,AMECI,Ameci,2020-01-24T00:00:00,All Orders Ameci.xlsx
history,24697977,AMECI,Ameci,2020-01-25T00:00:00,All Orders Ameci.xlsx
history,24724587,AMECI,Ameci,2020-01-25T00:00:00,All Orders Ameci.xlsx
history,24726804,AMECI,Ameci,2020-01-25T00:00:00,All Orders Ameci.xlsx
history,24727582,AMECI,Ameci,2020-01-25T00:00:00,All Orders Ameci.xlsx
history,24729180,AMECI,Ameci,2020-01-25T00:00:00,All Orders Ameci.xlsx
history,24729843,AMECI,Ameci,2020-01-25T00:00:00,All Orders Ameci.xlsx
history,24729855,AMECI,Ameci,2020-01-25T00:00:00,All Orders Ameci.xlsx
history,24731704,AMECI,Ameci,2020-01-25T00:00:00,All Orders Ameci.xlsx
history,24731810,AMECI,Ameci,2020-01-25T00:00:00,All Orders Ameci.xlsx
history,24742962,AMECI,Ameci,2020-01-26T00:00:00,All Orders Ameci.xlsx
history,24744546,AMECI,Ameci,2020-01-26T00:00:00,All Orders Ameci.xlsx
history,24758917,AMECI,Ameci,2020-01-26T00:00:00,All Orders Ameci.xlsx
history,24759454,AMECI,Ameci,2020-01-26T00:00:00,All Orders Ameci.xlsx
history,24761283,AMECI,Ameci,2020-01-26T00:00:00,All Orders Ameci.xlsx
history,24761800,AMECI,Ameci,2020-01-26T00:00:00,All Orders Ameci.xlsx
history,24761824,AMECI,Ameci,2020-01-26T00:00:00,All Orders Ameci.xlsx
history,24782553,AMECI,Ameci,2020-01-27T00:00:00,All Orders Ameci.xlsx
history,24801174,AMECI,Ameci,2020-01-28T00:00:00,All Orders Ameci.xlsx
history,24841264,AMECI,Ameci,2020-01-30T00:00:00,All Orders Ameci.xlsx
history,24852160,AMECI,Ameci,2020-01-30T00:00:00,All Orders Ameci.xlsx
history,24856959,AMECI,Ameci,2020-01-30T00:00:00,All Orders Ameci.xlsx
history,24902833,AMECI,Ameci,2020-01-31T00:00:00,All Orders Ameci.xlsx
history,24904094,AMECI,Ameci,2020-01-31T00:00:00,All Orders Ameci.xlsx
history,24904336,AMECI,Ameci,2020-01-31T00:00:00,All Orders Ameci.xlsx
history,24920713,AMECI,Ameci,2020-02-01T00:00:00,All Orders Ameci.xlsx
history,24927898,AMECI,Ameci,2020-02-01T00:00:00,All Orders Ameci.xlsx
history,24939433,AMECI,Ameci,2020-02-01T00:00:00,All Orders Ameci.xlsx
history,24942737,AMECI,Ameci,2020-02-01T00:00:00,All Orders Ameci.xlsx
history,24944667,AMECI,Ameci,2020-02-01T00:00:00,All Orders Ameci.xlsx
history,24949497,AMECI,Ameci,2020-02-01T00:00:00,All Orders Ameci.xlsx
history,24949601,AMECI,Ameci,2020-02-01T00:00:00,All Orders Ameci.xlsx
history,24950256,AMECI,Ameci,2020-02-01T00:00:00,All Orders Ameci.xlsx
history,24997387,AMECI,Ameci,2020-02-02T00:00:00,All Orders Ameci.xlsx
history,25015890,AMECI,Ameci,2020-02-03T00:00:00,All Orders Ameci.xlsx
history,25016933,AMECI,Ameci,2020-02-03T00:00:00,All Orders Ameci.xlsx
history,25040184,AMECI,Ameci,2020-02-05T00:00:00,All Orders Ameci.xlsx
history,25045203,AMECI,Ameci,2020-02-05T00:00:00,All Orders Ameci.xlsx
history,25063128,AMECI,Ameci,2020-02-05T00:00:00,All Orders Ameci.xlsx
history,25063238,AMECI,Ameci,2020-02-05T00:00:00,All Orders Ameci.xlsx
history,25094552,AMECI,Ameci,2020-02-06T00:00:00,All Orders Ameci.xlsx
history,25094745,AMECI,Ameci,2020-02-06T00:00:00,All Orders Ameci.xlsx
history,25138258,AMECI,Ameci,2020-02-07T00:00:00,All Orders Ameci.xlsx
history,25141265,AMECI,Ameci,2020-02-07T00:00:00,All Orders Ameci.xlsx
history,25141393,AMECI,Ameci,2020-02-07T00:00:00,All Orders Ameci.xlsx
history,25142806,AMECI,Ameci,2020-02-07T00:00:00,All Orders Ameci.xlsx
history,25144173,AMECI,Ameci,2020-02-07T00:00:00,All Orders Ameci.xlsx
history,25144767,AMECI,Ameci,2020-02-07T00:00:00,All Orders Ameci.xlsx
history,25146572,AMECI,Ameci,2020-02-07T00:00:00,All Orders Ameci.xlsx
history,25177974,AMECI,Ameci,2020-02-08T00:00:00,All Orders Ameci.xlsx
history,25184345,AMECI,Ameci,2020-02-08T00:00:00,All Orders Ameci.xlsx
history,25185971,AMECI,Ameci,2020-02-08T00:00:00,All Orders Ameci.xlsx
history,25186245,AMECI,Ameci,2020-02-08T00:00:00,All Orders Ameci.xlsx
history,25194794,AMECI,Ameci,2020-02-09T00:00:00,All Orders Ameci.xlsx
history,25221780,AMECI,Ameci,2020-02-09T00:00:00,All Orders Ameci.xlsx
history,25224770,AMECI,Ameci,2020-02-09T00:00:00,All Orders Ameci.xlsx
history,25224831,AMECI,Ameci,2020-02-09T00:00:00,All Orders Ameci.xlsx
history,25268512,AMECI,Ameci,2020-02-11T00:00:00,All Orders Ameci.xlsx
history,25270065,AMECI,Ameci,2020-02-11T00:00:00,All Orders Ameci.xlsx
history,25291790,AMECI,Ameci,2020-02-12T00:00:00,All Orders Ameci.xlsx
history,25293369,AMECI,Ameci,2020-02-12T00:00:00,All Orders Ameci.xlsx
history,25296659,AMECI,Ameci,2020-02-12T00:00:00,All Orders Ameci.xlsx
history,25311025,AMECI,Ameci,2020-02-13T00:00:00,All Orders Ameci.xlsx
history,25323071,AMECI,Ameci,2020-02-13T00:00:00,All Orders Ameci.xlsx
history,25338983,AMECI,Ameci,2020-02-14T00:00:00,All Orders Ameci.xlsx
history,25374406,AMECI,Ameci,2020-02-14T00:00:00,All Orders Ameci.xlsx
history,25377365,AMECI,Ameci,2020-02-14T00:00:00,All Orders Ameci.xlsx
history,25378351,AMECI,Ameci,2020-02-14T00:00:00,All Orders Ameci.xlsx
history,25380936,AMECI,Ameci,2020-02-14T00:00:00,All Orders Ameci.xlsx
history,25381322,AMECI,Ameci,2020-02-14T00:00:00,All Orders Ameci.xlsx
history,25381338,AMECI,Ameci,2020-02-14T00:00:00,All Orders Ameci.xlsx
history,25384118,AMECI,Ameci,2020-02-14T00:00:00,All Orders Ameci.xlsx
history,25384820,AMECI,Ameci,2020-02-14T00:00:00,All Orders Ameci.xlsx
history,25385506,AMECI,Ameci,2020-02-14T00:00:00,All Orders Ameci.xlsx
history,25422549,AMECI,Ameci,2020-02-15T00:00:00,All Orders Ameci.xlsx
history,25426952,AMECI,Ameci,2020-02-15T00:00:00,All Orders Ameci.xlsx
history,25459593,AMECI,Ameci,2020-02-16T00:00:00,All Orders Ameci.xlsx
