"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-062514043159736","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/16/21","7:13 PM","45.71","0","1.99","3.69","10.27","61.66","-11.93","0","-2.18","0","0"
"O-244914024444972","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/14/21","6:40 PM","26.97","0","0.00","2.09","4.36","33.42","-6.74","0","-1.32","0","0"
"O-817714095565274","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/21/21","6:27 PM","27.97","0","1.99","2.32","4.84","37.12","-7.49","0","-1.43","0","0"
"O-786113909342301","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/3/21","1:10 PM","42.29","0","0.00","3.28","9.11","54.68","-10.57","0","-1.97","0","0"
"O-322014183109226","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/30/21","7:13 PM","17.49","0","2.99","1.59","4.41","26.48","-5.12","0","-1.11","0","0"
"O-104313966997303","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/8/21","5:35 PM","31.46","0","2.99","2.67","5.57","42.69","-8.61","0","-1.60","0","0"
"O-246914178458720","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/29/21","6:52 PM","15.58","0","8.99","1.91","3.97","30.45","-6.14","0","-1.23","0","0"
"O-430314061293419","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/18/21","6:22 PM","17.49","0","4.99","1.36","4.77","28.61","-5.62","0","-1.02","0","-5.00"
"O-122113893234966","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/1/21","6:16 PM","45.97","0","4.99","3.95","7.00","61.91","-12.74","0","-2.19","0","0"
"O-582614140666332","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/26/21","8:35 PM","35.95","0","6.99","3.33","7.50","53.77","-10.74","0","-1.94","0","0"
"O-956213990084539","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/12/21","4:01 PM","31.48","0","6.99","2.59","4.11","45.17","-9.62","0","-1.53","0","-5.00"
"O-022914135761391","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/25/21","7:17 PM","40.90","0","4.99","3.56","7.42","56.87","-11.47","0","-2.03","0","0"
