Transaction Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Adjustments,Taxes,Tip,Other,You earned,Notes
Delivery,1/16/21,#134,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$40.88,-$16.35,$0.00,$3.17,,,$27.70,
Delivery,1/16/21,#A1EDA,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$52.97,-$15.05,$0.00,$0.00,,,$37.92,
Delivery,1/16/21,#828fb0f9,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$22.74,-$9.09,$0.00,$1.76,,,$15.41,
Delivery,1/16/21,#0e115c6e,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$41.00,-$16.40,$0.00,$3.18,,,$27.78,
Delivery,1/16/21,#544914033601805,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$54.82,-$21.59,$0.00,$3.40,,,$36.63,
Delivery,1/16/21,#D29BE,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$60.21,-$21.07,$0.00,$4.67,,,$43.81,
Delivery,1/16/21,#1596a5fc,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$42.96,-$17.18,$0.00,$3.33,,,$29.11,
Delivery,1/16/21,#156,Cupid's Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$21.95,-$8.78,$0.00,$1.71,,,$14.88,
Delivery,1/16/21,#41301,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$27.97,-$6.80,$0.00,$0.00,,,$21.17,
Delivery,1/16/21,#6215A,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$33.47,-$9.49,$0.00,$0.00,,,$23.98,
Delivery,1/16/21,#CDF05,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$15.98,-$3.60,$0.00,$0.00,,,$12.38,
Delivery,1/16/21,#160,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$15.00,-$6.00,$0.00,$1.17,,,$10.17,
Delivery,1/16/21,#389514033001686,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$9.99,-$3.84,$0.00,$0.39,,,$6.54,
Delivery,1/16/21,#118,The United Pepperonis of Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$22.99,-$9.20,$0.00,$1.79,,,$15.58,
Delivery,1/16/21,#0381be6d,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$16.00,-$6.40,$0.00,$1.24,,,$10.84,
Delivery,1/16/21,#166,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$36.00,-$14.40,$0.00,$2.79,,,$24.39,
Delivery,1/16/21,#b3ba30b9,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$21.98,-$8.78,$0.00,$1.70,,,$14.90,
Delivery,1/16/21,#d1c56e4c,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$21.48,-$8.59,$0.00,$1.66,,,$14.55,
Delivery,1/16/21,#2ee8b4ca,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.49,-$6.19,$0.00,$1.20,,,$10.50,
Delivery,1/16/21,#66c35d75,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.95,-$6.38,$0.00,$1.24,,,$10.81,
Delivery,1/16/21,#4F537,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$23.98,-$5.40,$0.00,$0.00,,,$18.58,
Delivery,1/16/21,#4F29F,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$23.98,-$6.00,$0.00,$0.00,,,$17.98,
Delivery,1/16/21,#C8F2B,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$72.91,-$7.29,$0.00,$0.00,,,$65.62,
Delivery,1/16/21,#824AA,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$25.98,-$6.50,$0.00,$0.00,,,$19.48,
Delivery,1/16/21,#014f9ef2,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$25.98,-$10.39,$0.00,$2.01,,,$17.61,
Delivery,1/16/21,#87b495f5,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.99,-$5.60,$0.00,$1.08,,,$9.47,
Delivery,1/16/21,#881426b6,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$58.80,-$23.52,$0.00,$4.56,,,$39.84,
Delivery,1/15/21,#efe890a2,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$28.98,-$11.59,$0.00,$2.25,,,$19.65,
Delivery,1/15/21,#53a1afe4,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$11.99,-$4.80,$0.00,$0.93,,,$8.12,
Delivery,1/15/21,#ad31a1e4,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$30.97,-$12.38,$0.00,$2.40,,,$20.99,
Delivery,1/15/21,#FA943,Cupid's Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$61.90,-$14.93,$0.00,$0.00,,,$46.97,
Delivery,1/15/21,#117,The United Pepperonis of Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$44.48,-$17.79,$0.00,$3.45,,,$30.14,
Delivery,1/15/21,#187,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$19.99,-$8.00,$0.00,$1.55,,,$13.54,
Delivery,1/15/21,#45e385b7,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$33.47,-$13.38,$0.00,$2.59,,,$22.68,
Delivery,1/15/21,#396FF,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$30.97,-$8.49,$0.00,$0.00,,,$22.48,
Delivery,1/15/21,#159,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$39.90,-$15.96,$0.00,$3.10,,,$27.04,
Delivery,1/15/21,#8DF41,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$32.97,-$8.55,$0.00,$0.00,,,$24.42,
Delivery,1/15/21,#E6D81,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$41.98,-$11.20,$0.00,$0.00,,,$30.78,
Delivery,1/15/21,#0db0e445,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$26.97,-$10.78,$0.00,$2.09,,,$18.28,
Delivery,1/15/21,#3b8469ad,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$55.97,-$22.39,$0.00,$4.34,,,$37.92,
Delivery,1/15/21,#E4770,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$21.98,-$8.79,$0.00,$1.70,,,$14.89,
Delivery,1/15/21,#087BD,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$31.98,-$11.20,$0.00,$2.48,,,$23.26,
Delivery,1/15/21,#7cd0b25e,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.99,-$5.20,$0.00,$1.01,,,$8.80,
Delivery,1/15/21,#BC874,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$25.98,-$6.50,$0.00,$0.00,,,$19.48,
Delivery,1/15/21,#fcce8827,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$48.47,-$19.39,$0.00,$3.76,,,$32.84,
Delivery,1/15/21,#444d4a10,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$48.96,-$19.58,$0.00,$3.79,,,$33.17,
Payment,1/15/21,,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,,,,,,,-$199.66,Uber Eats direct payment debit
