"Invoice","","","","","","",""
"","","","","","","",""
"Date","Subtotal","Tax","Delivery Fee","Tip","Total","Payment Type","Order Type"
"4/14/2023 23:06:42","37.97","3.17","2.99","6.62","50.75","credit_card","delivery"
"Total","37.97","3.17","2.99","6.62","50.75","",""
"","","","","","","",""
"All Orders","50.75","","(all orders including cash and credit card paid orders) ","","","",""
"Pre-Paid Orders","50.75","","(orders where the customer paid with a credit card online) ","","","",""
"MenuStar Fees","8.3","","(includes credit card processing fee) ","","","",""
"Adjustments","0","","(credits/debts posted to your account) ","","","",""
"Net Payout","42.45","","(you will receive a check for this amount in 3-4 days)","","","",""
