"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-018713270841828","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/1/20","11:24 AM","9.99","0","0.00","0.77","1.61","12.37","-1.25","-0.68","0"
"O-273813545127757","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/28/20","3:39 PM","33.96","0","0.00","2.63","3.66","40.25","-4.25","-1.53","0"
"O-725013352225283","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/9/20","12:23 PM","19.98","0","2.99","1.78","3.71","28.46","-2.87","-1.17","0"
"O-954113471137997","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/20/20","6:56 PM","22.32","0","2.99","1.96","4.09","31.36","-3.16","-1.26","0"
"W-654413330966649","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/6/20","5:19 PM","49.23","0","2.99","4.05","5.00","61.27","0","-2.17","0"
"O-894213409281181","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/13/20","6:42 PM","21.24","0","2.99","1.88","4.53","30.64","-3.03","-1.23","0"
"W-315613489183596","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/22/20","1:30 PM","25.73","0","0.00","1.99","2.77","30.49","0","-1.23","0"
"O-990313479594928","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/20/20","4:29 PM","29.96","0","0.00","2.32","4.84","37.12","-3.75","-1.43","0"
"O-476913472371654","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/20/20","6:01 PM","42.96","0","2.99","3.56","7.42","56.93","-5.74","-2.04","0"
"O-473313394632334","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/12/20","5:39 PM","19.98","0","0.00","1.55","0","21.53","-2.50","-0.96","0"
"O-117713356315086","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/8/20","6:28 PM","49.08","0","2.99","4.03","8.41","64.51","-6.51","-2.27","0"
"W-574713320687979","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/5/20","8:00 PM","51.80","0","0.00","4.01","2.79","58.60","0","-2.09","0"
"W-018713300881201","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/3/20","7:06 PM","35.21","0","0.00","2.73","3.79","41.73","0","-1.57","0"
"O-018713320872965","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/6/20","1:01 PM","55.72","0","2.99","4.55","0","63.26","-7.34","-2.23","0"
