Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Discounts,Adjustments,Marketplace Facilitator Tax,Total Tax Charged to Customer,Tax Passed through to Operator,Tip,Restaurant Fulfilled Delivery Fee,Other,You earned,Notes
Delivery,2022-01-26,#635d01a2,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.95,-$5.18,$0.00,$0.00,$0.00,$1.00,$1.00,,$0.00,,$8.77,
Delivery,2022-01-26,#172f9f99,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$30.97,-$8.40,-$3.99,$0.00,$0.00,$2.40,$2.40,,$0.00,,$20.98,
Delivery,2022-01-26,#129417793078061,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$28.49,-$8.30,-$3.00,$0.00,$0.00,$1.98,$1.98,,$0.00,,$19.17,
Delivery,2022-01-26,#80d3be5a,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$22.98,-$9.19,$0.00,$0.00,$0.00,$1.78,$1.78,,$0.00,,$15.57,
Delivery,2022-01-26,#64ae504e,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.99,-$5.20,$0.00,$0.00,$0.00,$1.01,$1.01,,$0.00,,$8.80,
Delivery,2022-01-26,#821662c2,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.95,-$5.18,$0.00,$0.00,$0.00,$1.00,$1.00,,$0.00,,$8.77,
Delivery,2022-01-27,#0C2CD,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$24.99,-$7.00,-$3.00,$0.00,-$1.70,$1.70,$0.00,,$0.00,,$14.99,
Delivery,2022-01-27,#B0A03,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$28.99,-$8.60,-$3.00,$0.00,-$2.01,$2.01,$0.00,,$0.00,,$17.39,
Delivery,2022-01-27,#323221dc,Cupid's Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$19.95,-$7.98,$0.00,$0.00,$0.00,$1.55,$1.55,,$0.00,,$13.52,
Delivery,2022-01-27,#859117797420154,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$12.99,-$5.20,$0.00,$0.00,$0.00,$1.01,$1.01,,$0.00,,$8.80,
Delivery,2022-01-27,#91FEB,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$31.48,$1.40,-$13.99,$0.00,-$1.36,$1.36,$0.00,,$0.00,,$18.89,
Delivery,2022-01-27,#aaad1aa7,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.95,-$5.18,$0.00,$0.00,$0.00,$1.00,$1.00,,$0.00,,$8.77,
Delivery,2022-01-27,#08dc9c60,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$26.00,-$10.40,$0.00,$0.00,$0.00,$2.02,$2.02,,$0.00,,$17.62,
Delivery,2022-01-27,#01877,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$29.98,$2.00,-$13.99,$0.00,-$1.24,$1.24,$0.00,,$0.00,,$17.99,
Delivery,2022-01-27,#95D43,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$16.99,-$3.80,-$3.00,$0.00,-$1.08,$1.08,$0.00,,$0.00,,$10.19,
Delivery,2022-01-27,#92F63,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$38.00,-$15.20,$0.00,$0.00,-$2.95,$2.95,$0.00,,$0.00,,$22.80,
Delivery,2022-01-27,#727D9,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$24.98,-$9.99,$0.00,$0.00,-$1.94,$1.94,$0.00,,$0.00,,$14.99,
