"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-429117579299232","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/4/22","8:47 PM","38.47","0.00","0","2.98","3.00","44.45","-5.77","0","-1.66","0","0"
"O-311517825646283","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/29/22","6:36 PM","34.95","6.99","0","3.25","5.65","50.84","-6.29","0","-1.85","0","0"
"T-AwEAAAAAAA9Oog7SldB1eBHsudhNpdiHniA","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","347817640220924 AA","1/14/22","12:25 PM","0","0.00","0","0.00","0","49.97","0","0","0","0","0"
"O-003417740660617","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/21/22","4:40 PM","39.47","0.00","0","3.06","0","42.53","-5.92","0","-1.60","0","0"
"O-210117835633325","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/30/22","6:25 PM","58.28","6.99","0","5.06","12.56","82.89","-9.79","0","-2.83","0","0"
"O-809017822199518","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/30/22","3:02 PM","24.98","4.99","0","2.33","2.69","34.99","-4.50","0","-1.37","0","0"
"O-210117825637374","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/29/22","5:17 PM","19.28","1.99","0","1.64","3.43","26.34","-3.19","0","-1.10","0","0"
"O-419717605591612","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/8/22","4:18 PM","38.93","4.99","0","2.79","7.01","53.72","-6.59","0","-1.69","0","-8.00"
"O-174717702139036","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/17/22","8:48 PM","17.98","4.99","0","1.78","1.94","26.69","-3.45","0","-1.11","0","0"
"O-955817607609025","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/7/22","6:31 PM","32.72","4.99","0","2.31","6.93","46.95","-5.66","0","-1.49","0","-8.00"
