"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-520317799937137","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/26/22","8:25 PM","27.72","2.99","0","2.38","4.48","37.57","-3.84","-1.45","0"
"O-147417549611148","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/2/22","4:09 PM","34.20","2.99","0","2.88","6.01","46.08","-4.65","-1.71","0"
"O-658517666359848","Ameci Pizza & Pasta - Trabuco Rd","Adjustment of O-658517666359848","MISSING_ITEM - Refund requested by diner via help interaction","1/13/22","8:09 PM","-0.75","0.00","0","-0.06","0","-0.81","0","0","0"
"O-955817617607075","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/8/22","6:16 PM","40.55","2.99","0","3.37","9.38","56.29","-5.44","-2.02","0"
"O-631217637695487","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/10/22","5:50 PM","58.94","2.99","0","4.80","13.34","80.07","-7.74","-2.74","0"
"O-392817740796551","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/22/22","3:02 PM","81.70","0.00","0","6.33","0","88.03","-10.21","-2.98","0"
"W-670117696932379","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/16/22","5:18 PM","22.98","0.00","0","1.78","3.71","28.47","0","-1.17","0"
"O-429117589282872","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/6/22","12:17 PM","23.98","2.99","0","2.09","3.88","32.94","-3.37","-1.30","0"
"O-837017815003923","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/28/22","8:55 PM","17.48","2.99","0","1.58","3.30","25.35","-2.56","-1.07","0"
"O-003417760648761","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/23/22","8:03 PM","41.95","2.99","0","3.48","6.78","55.20","-5.62","-1.98","0"
"O-193417598555058","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/6/22","6:03 PM","46.00","0.00","0","3.57","0","49.57","-5.75","-1.81","0"
"O-837017815050104","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/28/22","5:33 PM","23.36","4.99","0","2.20","6.11","36.66","-3.54","-1.42","0"
"O-392817730751589","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/20/22","6:16 PM","37.98","0.00","0","2.94","0","40.92","-4.75","-1.55","0"
"O-720517828089769","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/29/22","5:27 PM","22.98","2.99","0","2.01","4.19","32.17","-3.25","-1.28","0"
"O-174717572131606","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/4/22","5:49 PM","48.95","2.99","0","4.02","8.39","64.35","-6.49","-2.26","0"
"O-941017556277026","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/2/22","5:25 PM","34.03","0.00","0","2.64","0","36.67","-4.25","-1.42","0"
"W-349217598652802","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/6/22","7:22 PM","58.97","0.00","0","4.57","0","63.54","0","-2.24","0"
"W-193417688575028","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/16/22","12:11 PM","22.98","0.00","0","1.78","0","24.76","0","-1.06","0"
"O-147417559680195","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/2/22","5:30 PM","36.56","2.99","0","3.06","7.88","50.49","-4.94","-1.84","0"
"O-670117666917606","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/14/22","1:17 PM","20.97","2.99","0","1.86","3.87","29.69","-3.00","-1.21","0"
"O-097317662706126","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/13/22","6:30 PM","50.19","2.99","0","4.12","13.52","70.82","-6.65","-2.46","0"
"O-680417600655039","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/7/22","7:03 PM","54.93","2.99","0","4.49","0","62.41","-7.24","-2.20","0"
"W-210117755627135","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/23/22","11:45 AM","25.17","2.99","0","2.18","3.00","33.34","0","-1.32","0"
"O-692517593917365","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/6/22","4:54 PM","38.16","0.00","0","2.96","0","41.12","-4.77","-1.55","0"
"O-429117589286932","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/6/22","12:33 PM","42.95","0.00","0","3.33","0","46.28","-5.37","-1.71","0"
"O-692517653919864","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/12/22","8:21 PM","75.91","2.99","0","6.11","5.00","90.01","-9.86","-3.05","0"
"O-311517715646723","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/19/22","12:47 PM","16.98","2.99","0","1.55","3.66","25.18","-2.50","-1.07","0"
"O-670117566937205","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/3/22","6:39 PM","52.20","2.99","0","4.28","10.00","69.47","-6.90","-2.42","0"
"O-295717541370128","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/1/22","8:03 PM","50.25","2.99","0","4.12","3.81","61.17","-6.66","-2.17","0"
"O-949417819892277","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/28/22","5:50 PM","55.54","2.99","0","4.53","12.61","75.67","-7.32","-2.61","0"
"O-631217587691958","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/5/22","6:03 PM","32.17","2.99","0","2.72","5.68","43.56","-4.40","-1.63","0"
"O-003417840661412","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/31/22","7:47 PM","19.99","0.00","0","1.55","0","21.54","-2.50","-0.96","0"
"O-677317746121967","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/22/22","12:33 PM","33.57","4.99","0","2.99","3.62","45.17","-4.82","-1.68","0"
"W-147417539608574","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/1/22","1:02 PM","25.52","2.99","0","2.21","2.00","32.72","0","-1.30","0"
"O-663917759136947","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/23/22","4:41 PM","20.58","2.99","0","1.82","3.33","28.72","-2.95","-1.18","0"
"O-941017676279849","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/14/22","6:06 PM","33.76","4.99","0","3.01","5.46","47.22","-4.84","-1.74","0"
"O-129417813015068","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/29/22","2:43 PM","42.92","2.99","0","3.56","7.42","56.89","-5.74","-2.04","0"
"O-421617546599677","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"1/1/22","6:54 PM","47.25","2.99","0","3.89","7.64","61.77","-6.28","-2.18","0"
