Date,Orders,Tax,Tip,Customer Carryout or Delivery Charge,Subtotal,Upcharges,Total,Customer Fees,Restaurant Fees,Delivery Service,Payout
04/08/21,1,2.52,4.87,0.00,32.48,0.00,41.37,1.50,1.34,0,38.53
04/14/21,1,1.47,0.00,0.00,18.99,0.00,21.96,1.50,0.85,0,19.61
04/19/21,1,0.85,2.20,0.00,10.99,0.00,15.54,1.50,0.69,0,13.35
04/23/21,1,1.78,4.59,2.99,22.95,0.00,33.81,1.50,1.15,0,31.16
04/24/21,1,0.85,1.10,0.00,10.99,0.00,14.44,1.50,0.67,0,12.27
04/25/21,2,5.22,5.62,2.99,67.42,0.00,84.25,3.00,2.72,0,78.53
,7,12.69,18.38,5.98,163.82,0.00,211.37,10.50,7.42,0,193.45
