"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-497815458032965","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/7/21","12:28 PM","11.99","0","0.00","0.93","0","12.92","-3.00","0","-0.69","0"
"O-887615503537371","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/11/21","9:47 PM","60.40","0","2.99","4.91","10.25","78.55","-15.85","0","-2.70","0"
"O-051315447889662","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/6/21","2:54 PM","42.55","0","0.00","3.30","0","45.85","-10.64","0","-1.70","0"
"O-869115623187684","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/23/21","7:46 PM","34.34","0","4.99","3.05","6.36","48.74","-9.83","0","-1.79","0"
"O-884615684991831","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/30/21","12:50 PM","41.98","0","0.00","3.25","0","45.23","-10.50","0","-1.68","0"
"O-207415589011616","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/20/21","3:43 PM","49.11","0","2.99","4.04","8.42","64.56","-13.03","0","-2.27","0"
"O-604515435269955","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/5/21","12:30 PM","43.55","0","8.99","4.08","15.00","71.62","-13.14","0","-2.48","0"
"O-065915592498806","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/21/21","1:33 PM","29.97","0","8.99","3.02","4.84","46.82","-9.74","0","-1.73","0"
"O-752515540116789","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/15/21","8:08 PM","20.48","0","6.99","2.13","4.41","34.01","-6.87","0","-1.34","0"
"O-330915675594216","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/28/21","6:33 PM","40.85","0","0.00","3.17","6.60","50.62","-10.21","0","-1.84","0"
"O-994115429305541","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/3/21","7:24 PM","29.54","0","6.99","2.83","3.18","42.54","-9.13","0","-1.60","0"
"O-752515530165689","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/15/21","4:00 PM","30.94","0","2.99","2.63","10.97","47.53","-8.48","0","-1.75","0"
"O-165215476633261","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-165215476633261","Refund due to order adjustment
Food temperature and quality.","6/8/21","10:20 PM","-68.61","0","-8.99","-6.02","-1.00","-84.62","0","0","0","0"
"O-259915425057637","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/4/21","1:41 PM","16.98","0","6.99","1.86","4.58","30.41","-5.99","0","-1.23","0"
"O-944315579675939","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/18/21","6:00 PM","53.94","0","6.99","4.72","9.85","75.50","-15.23","0","-2.60","0"
"O-812015648989955","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/25/21","9:08 PM","44.43","0","2.99","3.67","7.66","58.75","-11.86","0","-2.09","0"
"O-079015445397640","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/5/21","9:34 PM","30.72","0","0.00","2.38","0","33.10","-7.68","0","-1.31","0"
"O-591815628773719","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/23/21","7:56 PM","16.98","0","6.99","1.86","4.58","30.41","-5.99","0","-1.23","0"
"O-401615574432946","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/19/21","2:07 PM","42.97","0","0.00","3.33","4.63","50.93","-10.74","0","-1.85","0"
"O-366515493149366","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/10/21","7:26 PM","15.98","0","8.99","1.94","4.00","30.91","-6.24","0","-1.24","0"
"O-291415501358850","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/12/21","5:00 PM","39.93","0","0.00","3.09","5.00","48.02","-9.98","0","-1.76","0"
"O-084215608593613","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/21/21","6:08 PM","52.91","0","6.99","4.64","9.68","74.22","-14.98","0","-2.56","0"
"O-401615584414348","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/19/21","7:18 PM","40.21","0","0.00","3.12","0","43.33","-10.05","0","-1.62","0"
