"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-956914917092985","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/13/21","6:44 PM","25.17","0","4.99","2.34","6.50","39.00","-7.54","0","-1.49","0"
"O-303115041999452","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/27/21","5:41 PM","36.97","0","6.99","3.41","7.11","54.48","-10.99","0","-1.96","0"
"O-407414898413751","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/11/21","7:01 PM","30.48","0","6.99","2.90","4.93","45.30","-9.37","0","-1.68","0"
"O-792114868285028","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/8/21","8:28 PM","17.72","0","0.00","1.37","0","19.09","-4.43","0","-0.88","0"
"O-903714848996197","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/6/21","6:00 PM","34.97","0","4.99","3.10","4.31","47.37","-9.99","0","-1.74","0"
"O-185015089792220","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/30/21","7:10 PM","30.56","0","4.99","2.76","5.75","44.06","-8.89","0","-1.64","0"
"T-AwEAAAAAAA9OouskV_Cp4xHrqHF3RsOVZHE","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","49641507-5117684 BH","4/30/21","11:43 AM","0","0","0.00","0.00","0","8.99","0","0","0","0"
"O-538714893491044","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/12/21","2:55 PM","16.78","0","1.99","1.45","1.81","22.03","-4.69","0","-0.97","0"
"O-471014884028055","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/10/21","7:19 PM","25.17","0","1.99","2.10","2.93","32.19","-6.79","0","-1.28","0"
"O-471014874042561","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/9/21","7:50 PM","20.96","0","0.00","1.62","3.38","25.96","-5.24","0","-1.09","0"
"O-434714791157602","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/2/21","1:49 PM","41.97","0","6.99","3.79","0","52.75","-12.24","0","-1.91","0"
"O-919515008533784","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/23/21","5:00 PM","42.97","0","0.00","3.33","0","46.30","-10.74","0","-1.71","0"
